bin,name,rating,user_ratings_total,lat,lng,distance,cnstrct_yr,height,office_area,retail_area,residential_area,betweeness,ridership_evening,ridership_late_night,ridership_midday,ridership_morning,ridership_night,distance_from_station(ft),idw_aadt_2019,idw_aadt_2020,idw_atvc_2019,idw_atvc_2020
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
1025437,Guantanamera,4.4,2707,40.7658904,-73.9838214,19.2398360376659,1925.0,51.36,0,2287,4500,0.0250091092782139,969.8440611971738,85.67877124641689,720.9654827199463,235.2736267546651,483.06935253994936,951.7649327744653,12083.010296793404,11610.06421943524,182.1420670684451,201.13257799097735
