name,place_id,price_level,rating,user_ratings_total,business_status,adr_address,formatted_address,lat,lng,bin,distance
Les Enfants de Bohème,ChIJHwu_1StawokRynZ0Sc_ZF7k,2.0,4.4,492,OPERATIONAL,,"177 Henry St, New York, NY 10002",40.7136491,-73.98874529999999,1003614,0.0
May May Kitchen,ChIJpU73aypawokRZMDe5styhCw,1.0,3.7,134,OPERATIONAL,,"181 Clinton St, New York, NY 10002",40.7155492,-73.98724589999999,1077606,0.0
Wu's Wonton King,ChIJT5GkdilawokRy9yB3jEG_3Q,1.0,4.2,1369,OPERATIONAL,,"165 E Broadway, New York, NY 10002",40.7138317,-73.989964,1003627,0.0
El Castillo De Jagua 2,ChIJRzhqQdVbwokR2EQnWuX5fqk,1.0,4.1,763,OPERATIONAL,,"521 Grand St, New York, NY 10002",40.7143748,-73.98183209999999,1003741,0.0
Holy Cow,ChIJq6pmp6hZwokRVVybYtzIWr4,2.0,4.4,645,OPERATIONAL,,"34 Canal St, New York, NY 10002",40.7144105,-73.9906865,1003601,0.0
7 Elephants,ChIJD1skg_BbwokRjFBu9VHsDLw,1.0,4.7,109,OPERATIONAL,,"221 E Broadway, New York, NY 10002",40.714212,-73.9870455,1003735,2.0086255415818988
Jajaja Mexicana,ChIJp0gKoClawokR0txqrcaEkFc,2.0,4.6,1942,OPERATIONAL,,"162 E Broadway, New York, NY 10002",40.7142153,-73.9903781,1003598,0.0
Manousheh Grand,ChIJOQXR4U1bwokRfhkCnTG8Obo,1.0,4.5,238,OPERATIONAL,,"403 Grand St, New York, NY 10002",40.7158414,-73.98735599999999,1077606,0.0
Alphonso’s Pizzeria Trattoria,ChIJXaipQdVbwokRgt5MFGFyguA,2.0,4.2,254,OPERATIONAL,,"525 Grand St, New York, NY 10002",40.714326,-73.981707,1003743,0.0
Casino,ChIJM_QQQL5bwokRMo0UoSSL4Yg,,4.0,117,OPERATIONAL,,"171 E Broadway, New York, NY 10002",40.713982,-73.9897064,1003624,0.0
Saluggi's East,ChIJW0eidCpawokR5A505xH06l8,2.0,4.4,969,OPERATIONAL,,"399 Grand St, New York, NY 10002",40.7159551,-73.98730379999999,1077606,0.0
Taco Recipes,ChIJY39r6ylawokR-YPfJe2Qfk8,1.0,3.8,64,OPERATIONAL,,"23 Essex St, New York, NY 10002",40.715442,-73.9899851,1003812,0.0
Wa Lung Kitchen,ChIJQffRCtVbwokR9G83MrtY4KA,1.0,3.8,234,OPERATIONAL,,"557 Grand St, New York, NY 10002",40.7139086,-73.9802259,1003219,0.0
Golden Forest,ChIJlS89V4dZwokRazYs0bapTw0,1.0,4.0,209,OPERATIONAL,,"4628 353 Grand St, New York, NY 10002",40.7167143,-73.98944949999999,1004033,0.28164882549371106
Eastwood,ChIJO_DTSCpawokR8ueqrPAl8QI,2.0,4.4,309,OPERATIONAL,,"200 Clinton St, New York, NY 10002",40.7141536,-73.98706779999999,1003735,0.0
May Kaidee,ChIJs7mMBNhbwokRryRN1bPerR4,2.0,4.5,282,OPERATIONAL,,"215 E Broadway, New York, NY 10002",40.7141688,-73.9874846,1003697,0.9850652032116989
Bacaro,ChIJ1bOSqylawokRw1zMPdY1HLg,2.0,4.4,334,OPERATIONAL,,"136 Division St, New York, NY 10002",40.7145423,-73.99156529999999,1003805,0.0
Subway,ChIJaa_WTipawokRiujcBPuAvx4,1.0,3.7,66,OPERATIONAL,,"221 E Broadway Store #1, New York, NY 10002",40.7141144,-73.9869863,1003735,0.0
Mictlan México,ChIJPyX795hbwokRctV_MObe1fU,2.0,4.5,200,OPERATIONAL,,"17 Orchard St, New York, NY 10002",40.7152547,-73.99183889999999,1003873,0.0
Kopitiam,ChIJCSo-rSlawokRXSVW0IKZ3vQ,1.0,4.3,1286,OPERATIONAL,,"151 E Broadway, New York, NY 10002",40.7138484,-73.9909298,1003569,0.0
North Dumpling,ChIJib907ylawokRR9VRduNlws0,1.0,4.6,669,OPERATIONAL,,"27A Essex St, New York, NY 10002",40.7158315,-73.9897852,1004045,0.0
El Cabron Taqueria,ChIJAZ2eUZtbwokRuRJIUC33LCw,,4.4,91,OPERATIONAL,,"26 Essex St, New York, NY 10002",40.7155282,-73.9899406,1078949,0.0
A-1 Pizza Shop,ChIJkQXjJetbwokRib_RC1IYJEk,1.0,4.4,78,OPERATIONAL,,"505 Grand St, New York, NY 10002",40.7145388,-73.9823026,1084869,0.0
Super Taste,ChIJoR3RZyhawokRwR91d6hJvvY,1.0,4.6,1002,OPERATIONAL,,"26 Eldridge St, New York, NY 10002",40.715065,-73.99333179999999,1003782,0.0
Cervo's,ChIJp_UkrilawokRtDAS5sls7jo,3.0,4.5,387,OPERATIONAL,,"43 Canal St, New York, NY 10002",40.7148624,-73.99134459999999,1003857,0.0
Zafis Luncheonette,ChIJzYPwsSpawokRJAJtH0MuXfM,1.0,4.4,354,OPERATIONAL,,"500 Grand St, New York, NY 10002",40.7149204,-73.9826837,1004065,0.0
Sticky Rice,ChIJTzmQFYdZwokRGSgaa-CqXRk,2.0,4.5,437,OPERATIONAL,,"85 Orchard St, New York, NY 10002",40.717998,-73.990472,1005447,0.0
Sixty Three Clinton,ChIJ385rlW9ZwokRHTamoLqoosI,,4.8,294,OPERATIONAL,,"63 Clinton St, New York, NY 10002",40.719503,-73.985142,1004230,0.0
Phở Grand,ChIJVX1wkYdZwokRXMv8q8WVUDk,1.0,4.1,853,OPERATIONAL,,"277C Grand St, New York, NY 10002",40.7176857,-73.9927822,1003959,0.0
Loho,ChIJ1WQCTCpawokR3Jhe7nwLcqI,1.0,4.2,158,OPERATIONAL,,"204 Clinton St, New York, NY 10002",40.7137435,-73.9870079,1003705,0.0
La Bella Vita restaurant,ChIJWd83UYhZwokRDMwXOWImOlg,2.0,4.6,2209,OPERATIONAL,,"163 Mulberry St, New York, NY 10013",40.719798,-73.997406,1006969,0.0
Sauce Restaurant,ChIJyz4qsYZZwokRr3PKHw0CzaE,2.0,4.2,1075,OPERATIONAL,,"78 Rivington St, New York, NY 10002",40.7204716,-73.9893263,1005536,0.0
Barrio Chino (restaurant),ChIJa163PodZwokRrmuzoMb3Emc,2.0,4.3,691,OPERATIONAL,,"253 Broome St, New York, NY 10002",40.7179927,-73.99006399999999,1005274,0.0
Kings Kitchen,ChIJG08ekihawokRIejgF_clyrU,1.0,3.8,422,OPERATIONAL,,"92 E Broadway, New York, NY 10002",40.7138975,-73.99367269999999,1003545,0.0
218 Restaurant,ChIJY6y3bohZwokR0wAvTPRvLAM,1.0,4.2,168,OPERATIONAL,,"218 Grand St, New York, NY 10013",40.7189759,-73.9957326,1006933,0.0
Kings Co Imperial LES,ChIJwbkWUIBZwokRwSYfO3yTCqk,2.0,4.5,296,OPERATIONAL,,"168 1/2 Delancey St, New York, NY 10002",40.7179416,-73.9854156,1004215,0.0
Dimes,ChIJg1zmpilawokR1tvpSF6PWS8,2.0,4.2,632,OPERATIONAL,,"49 Canal St, New York, NY 10002",40.7149309,-73.9915742,1003860,0.0
IL Cortile,ChIJOQ8A1IlZwokRd4ZMRvOMQ3o,2.0,4.3,2013,OPERATIONAL,,"125 Mulberry St #4603, New York, NY 10013",40.7179405,-73.9981924,1002653,0.0
Cowgirl SeaHorse,ChIJ24YpVTtawokRsFPSkHjTWoA,2.0,4.3,1263,OPERATIONAL,,"259 Front St, New York, NY 10038",40.7082332,-74.0005406,1079138,0.0
Taverna Di Bacco,ChIJlQFG6INZwokRRiBMK6vm7xw,2.0,4.7,383,OPERATIONAL,,"175 Ludlow St, New York, NY 10002",40.7218822,-73.9875995,1005402,0.0
Abigail's Kitchen,ChIJW0sdEZJZwokRNNe8OEa2sW4,2.0,4.3,165,OPERATIONAL,,"193 Henry St, New York, NY 10002",40.7137608,-73.98784669999999,1003688,0.0
King Dumplings,ChIJwUWtpVNbwokRFXYqGsP5tyQ,1.0,4.6,701,OPERATIONAL,,"74 Hester St, New York, NY 10002",40.7159626,-73.9917091,1003861,0.0
Homemade Dumpling,ChIJefeh7ylawokRwwdaDQ5wPOc,,4.4,101,OPERATIONAL,,"27 Essex St A, New York, NY 10002",40.7158166,-73.9897928,1004045,0.0
Cibao,ChIJGarru4FZwokRhCrFKKyvH5s,1.0,4.1,456,OPERATIONAL,,"72 Clinton St, New York, NY 10002",40.7191943,-73.9848645,1004125,0.0
noodlelove,ChIJiXD_SgdZwokRNoX6B7g1ZqA,2.0,4.4,384,OPERATIONAL,,"192 Mott St, New York, NY 10012",40.7209866,-73.9956102,1007158,0.0
Puglia,ChIJfencLIhZwokRWDV5hTpFU74,2.0,4.3,1278,OPERATIONAL,,"189 Hester St, New York, NY 10013",40.7181561,-73.9976527,1003097,0.0
Le Coucou,ChIJyw5j84lZwokRnUI_UknPSNA,4.0,4.5,1598,OPERATIONAL,,"138 Lafayette St, New York, NY 10013",40.7191167,-74.0001861,1002687,0.0
