flag_restaurant_one_year,bin,camis,latitude,longitude,open_year,close_year,years_open,food_100,food_400,food_800,food_1000,bus_100,bus_400,bus_1000,train_100,train_400,train_1000,office_area,retail_area,residential_area,street_width_min,street_width_max,posted_speed,dist_station,dist_park,dist_school,office_450,retail_450,residential_450,ridership_morning_mean,ridership_midday_mean,ridership_evening_mean,ridership_night_mean,ridership_late_night_mean,idw_aadt_mean,idw_atvc_mean
0,1055509,50083010,40.79845469,-73.96341955,2018,2019,1,7,68,186,265,1,9,52,0,1,7,0,4317,17268,30,30,25,895.3504419,0,689.459062,18264,41030,2393358,98.28256044,123.3961642,89.96514729,29.0082114,12.33676888,15081.78199,173.0128438
1,1029894,50084829,40.77793079,-73.98006535,2018,2020,2,18,145,264,323,0,11,47,0,1,5,0,1465,7335,60,60,25,584.5486383,506.560008,1132.889528,71021,260621,2311746,497.3014459,924.1621418,908.6631995,421.3969096,57.17454626,12232.86778,173.602516
0,1036185,50097399,40.75450075,-73.97595043,2019,2019,0,38,306,1185,1627,0,8,55,0,3,14,1177646,34930,0,26,56,25,839.5374952,1234.730894,2183.350996,10751809,273196,0,1612.47102,2511.525188,3354.000049,999.4065995,221.5999305,17705.66819,192.0128748
0,1053439,50084801,40.80691266,-73.94609764,2020,2020,0,3,44,164,224,1,11,61,0,1,8,0,400,3434,30,32,25,362.6822704,114.2917591,26.26800352,116822,275382,611505,187.1610789,324.3423349,279.7161782,94.60418703,30.99728369,13998.90186,173.8696726
0,1007044,50105639,40.7213822,-74.00171001,2021,2021,0,3,160,775,1191,0,2,23,0,6,19,0,0,17675,34,34,25,797.2486254,705.3839717,1201.72148,664694,583950,1264610,196.6609724,1053.437561,1351.476505,523.3376345,84.09542707,7711.53141,202.7281651
1,1009562,50063201,40.73552048,-73.99816333,2017,2019,2,8,177,933,1365,1,3,23,0,3,17,0,2940,0,30,30,25,1056.293487,464.7841391,286.0008668,131541,123508,1459564,413.2111826,983.4852694,1177.267657,606.027602,139.8928704,9313.282032,198.0559692
0,1079184,50083596,40.75157997,-74.00559436,2018,2019,1,6,42,212,327,0,2,13,0,0,2,962891,97071,0,34,35,25,1639.322911,753.5073454,1674.732603,2838768,140511,863824,134.3671969,521.8375818,770.6263232,293.7208633,57.42065152,15387.58067,190.1585143
0,1015429,50100199,40.73879476,-73.99251944,2019,2020,1,18,223,820,1273,0,2,36,0,4,22,5250,2675,22750,30,30,25,949.6480783,948.166587,664.0863078,3156202,2345033,780577,413.2111826,983.4852694,1177.267657,606.027602,139.8928704,7584.915367,187.0527446
1,1015618,50041666,40.74324649,-73.98912305,2017,2019,2,15,260,1017,1489,1,10,41,0,3,18,97667,8000,0,42,42,25,689.2845537,106.1661236,811.9719397,2337645,333625,912817,115.9892457,450.8629832,548.5874335,214.764388,42.02652169,8156.588004,195.7404257
0,1034224,50108249,40.75575595,-73.98034994,2021,2021,0,49,388,1371,2027,2,10,47,0,4,22,222211,11126,0,30,32,25,533.3623002,619.7862073,932.5113195,5323546,1608407,79451,173.4765953,905.3328882,1623.422389,556.3186032,116.6863872,9320.613839,192.7731332
1,1087101,41348712,40.76068395,-73.97261999,2019,2021,2,17,260,946,1412,0,6,42,0,1,13,0,26485,80441,34,34,25,627.3496291,655.807492,1562.201686,5496631,378632,522631,46.07294744,433.1088842,886.1195702,155.3967004,26.1768784,10943.34757,182.7226214
1,1006168,40666183,40.72603411,-73.98952274,2018,2020,2,32,316,1063,1587,0,10,38,0,1,15,0,3116,11134,30,30,25,917.754709,626.0191401,359.5558378,4171,113297,1051771,210.1801867,380.4782908,386.8417074,289.9681104,104.6312088,8971.97831,195.7222536
1,1024993,41531104,40.75934449,-73.98886412,2017,2019,2,41,376,1196,1785,0,2,34,0,1,14,0,0,0,30,30,25,882.7049444,397.8479497,703.4321761,773611,217971,843973,2703.754781,3235.71124,3666.633797,2372.335545,685.697381,10537.94273,193.0474221
1,1025215,41546717,40.76426564,-73.98695002,2017,2019,2,9,293,992,1327,0,5,36,0,2,13,0,1600,8965,32,35,25,587.6899129,786.7362335,230.4990074,405511,129693,1832128,208.5400605,486.8384249,474.2337006,317.0416878,78.32521528,10058.58286,184.795634
1,1061939,50076806,40.82540763,-73.94800848,2019,2021,2,13,80,148,188,4,11,53,0,3,9,9000,2080,0,60,60,25,760.3271023,508.1085221,345.7245825,177955,51284,792844,225.8518764,262.8447019,155.546897,59.64932123,41.11998015,14770.13672,170.2968854
1,1000005,41554670,40.70253319,-74.01256178,2018,2020,2,15,138,301,441,0,1,8,1,3,13,1848626,39500,0,38,40,25,283.0290791,72.0845359,819.6112065,4545544,92031,126420,374.3028253,630.9954129,678.6138536,164.8977203,71.8726233,10282.59697,210.3133386
1,1009294,40379304,40.73437028,-73.99390193,2017,2019,2,13,196,885,1439,0,2,28,0,3,19,0,4500,54202,30,34,25,1145.293927,666.5725594,880.1546357,675426,288486,1798237,607.259116,2026.585418,2376.068791,1219.398343,239.3764855,7226.359675,183.5637369
1,1015370,41034539,40.73880865,-73.99576715,2017,2019,2,9,161,815,1314,0,3,31,1,4,20,3696,2000,0,30,30,25,304.8848387,965.456771,138.4789539,570045,284804,1190491,413.2111826,983.4852694,1177.267657,606.027602,139.8928704,10121.3416,189.5227735
1,1085030,50002202,40.75919656,-73.9923511,2017,2019,2,38,306,969,1460,0,5,24,0,1,14,0,5000,12187,34,34,25,1695.19228,239.2295726,1114.107709,357810,512542,6667556,2703.754781,3235.71124,3666.633797,2372.335545,685.697381,10555.68921,192.4658671
0,1003610,50092368,40.71441571,-73.99199914,2019,2020,1,25,179,684,910,1,10,33,0,1,10,0,1270,6265,24,25,25,542.3026705,143.6421573,486.5434801,113418,196659,668368,217.9916178,376.504674,346.3594401,151.6853378,40.88689069,6626.858479,203.287469
0,1014342,50098670,40.74943622,-73.99284306,2019,2019,0,19,321,1175,1553,1,4,41,0,3,17,0,6725,0,32,32,25,631.9493537,1277.153365,950.8471953,1001921,175383,278738,125.5002838,319.181324,350.8875084,146.7679405,40.86466748,9913.454097,193.6822358
1,1018071,41687898,40.74043255,-73.98430235,2019,2021,2,23,222,800,1166,1,12,59,0,2,10,0,8000,142340,50,52,25,631.0654035,947.7455356,552.3958979,1119831,154682,730887,247.0244484,597.9281576,623.5802993,230.8537294,46.94066508,10030.50209,195.6937549
