,RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
3872079,10267,Manhattan,2012,7,29,10,0,33,71360,POINT (1003632.1 248057.9),TRANS MANHATTAN EP NB ET 1 B,TRANS MANHATTAN EP SB EN WASH BR,BEND,NB
20298357,26227,Brooklyn,2017,6,17,17,0,88,128673,POINT (1011662.3383493214 170995.58254216015),REMSEN AVENUE,Stillwells Place,Alley,NB
10016721,17293,Queens,2014,6,13,15,0,71,67309,POINT (1001664.1 216186.9),36 AVENUE,12 STREET,21 STREET,EB
463026,1795,Bronx,2010,10,3,11,45,48,193970,POINT (1024373 251993.6),W/B PELHAM PKWY N@ LACONIA AV/ESPLANAD,HERING AV,ESPLANADE,WB
17806192,22997,Manhattan,2016,3,12,9,45,101,69084,POINT (1000425.4694459877 232975.56067666365),EAST 125 STREET,5 Avenue,Madison Avenue,WB
2068709,7311,Queens,2010,3,18,15,0,244,191393,POINT (1059811.3 198373.3),W/B HEMSTEAD AVE @ CITY LINE (NEAR CIP),CROSS IS PKWY,DEAD END,WB
8078909,16216,Bronx,2013,11,28,4,45,1,71459,POINT (1004436.8 245633.6),DR M L KING JR BLVD,W 169 ST,HIGH BR/W 170 ST,NB
26784171,32395,Staten Island,2020,8,28,23,15,87,149198,POINT (937132.3664491847 145760.33531702144),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,NB
1208436,2719,Bronx,2010,3,23,11,30,67,99717,POINT (1040214.5 251851.1),W/B CITY ISLAND BR @ PELHAM BAY PARK,CITY ISLAND RD,CITY ISLAND ROAD,WB
13204729,20053,Queens,2015,4,26,8,15,37,155528,POINT (1026440.08963423 202745.7735673004),QUEENS BOULEVARD,Dead End,Yellowstone Boulevard,EB
17808744,22997,Manhattan,2016,3,10,23,45,40,69288,POINT (1002339.3920997066 231915.1280318222),EAST 125 STREET,3 Avenue,2 Avenue,WB
13582569,20433,Manhattan,2015,5,30,23,45,118,32943,POINT (987237.8524829344 206747.06359884734),EAST 14 STREET,14 Street/canarsie Line,14 Street/canarsie Line,EB
22898881,28260,Bronx,2018,5,30,9,45,12,232274,POINT (1031649.3911690317 258580.2731278587),DREISER LOOP,Debs Place,Pedestrian Path,SB
26162208,31065,Manhattan,2019,10,11,14,15,320,275334,POINT (986122.005150593 202533.27740684955),BOWERY,Prince Street,Stanton Street,SB
10312358,17657,Manhattan,2014,7,23,8,0,180,35875,POINT (990439.6 218452.3),CENTRAL PARK S,7 AV/C P 7 AV APPR,CENTER DR/AVE OF THE AMERICAS,EB
22351599,27437,Queens,2018,2,4,1,30,61,9008512,POINT (1003628.958708422 216809.7078436072),CRESCENT STREET,33 Road,Dead end,SB
218647,1331,Brooklyn,2011,10,13,3,0,5,42118,POINT (1003711.7 179989.8),RUTLAND RD,E 52 ST,E 51 ST,WB
4653991,11132,Brooklyn,2012,11,21,23,45,17,28650,POINT (998712.1 170676.6),NOSTRAND AV,GLENWOOD RD,FARRAGUT RD,NB
21616053,26511,Queens,2017,11,10,19,0,152,133253,POINT (1043468.6445716135 209010.62140677994),188 STREET,Horace Harding Expressway Sr S,Dead end,NB
7217528,11662,Queens,2013,4,6,10,30,207,156596,POINT (1023975.5 183550.5),LINDEN BLVD,SAPPHIRE ST,79 ST,WB
