,RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
11098797,18175,Brooklyn,2014,9,18,18,45,80,145998,POINT (1008715.7157413209 177473.9475800885),ROCKAWAY PARKWAY,Avenue B,Linden Boulevard,NB
13507911,20847,Brooklyn,2015,6,24,6,30,11,26599,POINT (991342.487369545 161855.9355088382),DAHILL ROAD,64 Street,Avenue O,NB
11813275,18673,Brooklyn,2014,11,6,21,30,27,119842,POINT (988853.0382328725 153151.50602939381),STILLWELL AVENUE,West 15 Place,Harway Avenue,NB
20287216,26030,Brooklyn,2017,6,12,12,15,15,22742,POINT (988991.6971499125 182172.55928224407),10 STREET,6 Avenue,7 Avenue,EB
12336326,18054,Queens,2014,10,25,0,30,101,147118,POINT (1030094.183756781 217181.25984104176),NORTHERN BOULEVARD,Dead End,Dead end,EB
867098,2316,Queens,2009,11,10,22,15,10,54698,POINT (1031998.5 186350.9),N/B 111 ST @ 111 AVE,111 AV,ROCKAWAY BLVD,NB
18532559,23860,Brooklyn,2016,11,3,7,15,194,26962,POINT (994839.1153220799 161534.23290883037),AVENUE P,Coney Island Avenue,East 12 Street,WB
26617073,32110,Bronx,2020,3,7,12,15,31,88955,POINT (1022455.0901136672 260806.54150942338),EAST 218 STREET,Barnes Avenue,White Plains Road,WB
6899686,14634,Bronx,2013,6,13,9,30,26,88108,POINT (1024197.2 256827.9),LACONIA AV,BURKE AV,BOSTON RD,NB
18795218,23830,Staten Island,2016,11,16,21,30,843,143346,POINT (954415.6749574089 161671.1027818746),STATEN ISLAND EXPRESSWAY,Dead End,Dead end,WB
14194088,19470,Queens,2015,5,8,3,0,19,156016,POINT (1030232.004177679 172989.66537757218),NORTH CHANNEL BRIDGE,Dead End,Black Bank Marsh Shoreline,SB
19249991,25458,Brooklyn,2017,4,15,17,45,86,9002134,POINT (1007056.90384926 189149.321554333),SARATOGA AVENUE,Halsey Street,Dead End,SB
3272179,9685,Brooklyn,2011,2,19,15,0,59,23593,POINT (984151.2 190614.2),COLUMBIA ST BET AMITY & CONGRESS STS,CONGRESS ST,BQE WB EN COLUMBIA ST,NB
20276734,26198,Bronx,2017,6,22,7,45,85,108028,POINT (1026167.2538070896 243619.18074615343),WESTCHESTER AVENUE,Glover Street,Doris Street,WB
20567008,26799,Queens,2017,5,22,19,45,543,64059,POINT (1059473.7342565234 181796.41435752026),SOUTH CONDUIT AVENUE,Hook Creek Boulevard,Dead end,EB
27391239,31042,Brooklyn,2019,10,5,21,30,430,50824,POINT (1021947.8773794541 185439.57327356224),NORTH CONDUIT AVENUE,Eldert Lane,Forbell Street,WB
6810879,14278,Bronx,2012,10,5,4,45,6,121069,POINT (1013220.7 245476.3),CROTONA AV,CROTONA PARK N,CLAREMONT PKWY/CROTONA PARK GREENWAY,NB
8709446,16533,Brooklyn,2014,1,23,16,0,0,31188,POINT (998247.3 194707.9),WALLABOUT ST,UNION AV,HARRISON AV,WB
20614374,26799,Bronx,2017,6,19,4,0,0,135152,POINT (1017953.5337610589 269283.8121129573),MAJOR DEEGAN EXPRESSWAY,Dead End,Dead end,NB
15825749,22286,Bronx,2016,1,16,18,45,117,108066,POINT (1029000.4115616169 260018.20345415975),BAYCHESTER AVENUE,Dyre Avenue Line,Boston Road,SB
10416968,17398,Queens,2014,6,26,8,45,164,58951,POINT (1042904.1 184569.8),ROCKAWAY BLVD,149 ST,150 ST/SUTPHIN BLVD,EB
26364720,31033,Brooklyn,2019,10,3,18,0,128,25210,POINT (991822.0724142621 158091.43975613604),MC DONALD AVENUE,Avenue S,Avenue T,SB
10849937,17423,Queens,2014,6,29,15,0,98,112917,POINT (1037932.8 198611.1),PARSONS BLVD,85 AV,159 ST,SB
18788810,23864,Manhattan,2016,11,13,3,30,135,32329,POINT (983988.8396815888 201127.18975788928),CANAL STREET,Lafayette Street,Cortlandt Alley,WB
26962602,32407,Bronx,2020,10,6,22,15,27,73436,POINT (1009750.0109970114 263003.1757038942),RIVERDALE AVENUE,West 238 Street,West 239 Street,SB
7875340,16192,Queens,2013,11,14,21,15,0,137217,POINT (1025359.4 191814.8),WOODHAVEN BLVD,JAMAICA AV,89 AV,NB
451146,1772,Brooklyn,2010,9,30,8,0,102,42865,POINT (1009393.5 174621.1),E/B FOSTER AVE @ E 95 ST,E 92 ST,E 93 ST,EB
23828633,29439,Brooklyn,2018,11,7,13,15,8,127940,POINT (1001134.1014325139 161626.9649993058),AVENUE R,Marine Parkway,Alley,SB
16747737,23606,Manhattan,2016,6,5,5,0,9,33639,POINT (985479.9762376144 210412.91394161174),7 AVENUE,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,SB
2272971,7589,Manhattan,2009,10,17,5,15,0,111188,POINT (991047.6 221961.5),WEST DR ENTRANCE FROM W 72 ST,CPW 72 APPR,CPW 72 APPROACH,EB
11033323,18055,Queens,2014,10,19,3,15,14,81722,POINT (1021995.3762888728 206247.91683017477),JUNCTION BOULEVARD,Horace Harding Expressway Sr S,62 Drive,NB
10482022,17954,Queens,2014,6,9,3,30,2,91268,POINT (1032336.7 211968),56 AV,138 ST,MAIN ST,EB
1638748,3132,Manhattan,2009,1,21,15,45,66,184926,POINT (979936.1 196011.7),W/B BATTERY PLACE @ WASHINGTON ST,WASHINGTON STREET,BROOKLYN BATTERY TUNNEL,WB
9085560,15774,Bronx,2013,10,20,11,15,14,196308,POINT (1008780 260456),JOHNSON AV,W 231 ST,W 230 ST,SB
7413280,15296,Manhattan,2013,6,11,0,15,71,158574,POINT (1000579.6 245160.4),BROADWAY,W 165 ST,W 166 ST,SB
18579395,23887,Queens,2016,11,2,0,45,3,57167,POINT (1038957.0050688734 190947.75415158167),LAKEWOOD AVENUE,Inwood Street,Princeton Street,WB
19740581,25797,Brooklyn,2017,5,6,18,15,139,28258,POINT (994836.6762704456 177782.76707636192),OCEAN AVENUE,Brighton Line,East Drive,NB
7413070,15296,Manhattan,2013,6,23,19,0,21,184506,POINT (999574 243778),FT WASHINGTON AV,W 160 ST,BROADWAY,EB
20703702,26799,Bronx,2017,4,18,1,30,12,99721,POINT (1041433.9580247424 251291.59736011902),CITY IS BRIDGE,City Island Avenue,Dead end,EB
23634443,28842,Brooklyn,2018,11,6,18,30,148,22407,POINT (985433.8857777271 188004.77525551216),COURT STREET,Sackett Street,Union Street,SB
20191917,25927,Brooklyn,2017,6,7,21,0,132,157926,POINT (1005976.391248812 177754.98978273163),LINDEN BOULEVARD,Dead end,Kings Highway,WB
24442603,28844,Staten Island,2019,1,24,19,45,19,7886,POINT (943835.125437138 159668.72833449132),WILLOWBROOK ROAD,Seneca Loop,Collfield Avenue,WB
4518466,10525,Brooklyn,2012,10,28,3,15,317,191237,POINT (981470.4 158173.1),SHORE PARKWAY,DISTRICT BOUNDARY,CENSUS BOUNDARY,EB
16227700,21131,Bronx,2016,3,26,9,30,34,88159,POINT (1025316.1230880768 250989.51363911724),NEILL AVENUE,Tenbroeck Avenue,Narragansett Avenue,EB
7459623,15389,Manhattan,2013,7,21,6,45,23,158592,POINT (997350.5 225701.5),PARK AV,E 95 ST,E 96 ST,NB
5621808,12070,Bronx,2011,12,8,13,0,9,179802,POINT (1031087.2 255176.2),NB BAYCHESTER AVE RIGHT TURN TO BAY PLAZA MALL,BAYCHESTER AVENUE,BAYCHESTER AV,NB
23566557,28802,Manhattan,2018,11,2,1,30,100,31914,POINT (982231.2910439767 204343.92249753332),HUDSON STREET,Charlton Street,King Street,NB
12303793,18034,Staten Island,2014,9,30,3,15,106,152854,POINT (934570.1790950818 163154.50658308217),WEST SHORE EXPRESSWAY,Dead End,Dead end,NB
24327268,28843,Queens,2019,1,23,21,30,62,151035,POINT (1020890.1380575576 206081.69584504145),QUEENS BOULEVARD,Alley,Dead end,EB
2369769,7788,Manhattan,2011,8,15,23,0,79,165408,POINT (992202.5 215918.8),E 54 ST,PARK AV,LEXINGTON AV,EB
21506406,26601,Queens,2017,9,27,15,15,94,153700,POINT (1018541.0583751084 214259.11271664928),34 AVENUE,91 Street,92 Street,WB
6740345,14312,Brooklyn,2013,5,9,14,45,21,149114,POINT (1016658.2 180472.5),LINDEN BOULEVARD,ALLEY,BARBEY STREET,WB
17927096,24634,Brooklyn,2016,10,19,10,30,96,157916,POINT (1001371.3229516661 152043.7701045288),EMMONS AVENUE,Lincoln Terrace,Nostrand Avenue,WB
11781936,18476,Brooklyn,2014,11,8,10,45,180,42113,POINT (1003416.8248160044 178562.91302534955),UTICA AVENUE,Winthrop Street,Clarkson Avenue,NB
12010206,18613,Bronx,2014,11,15,15,30,282,178405,POINT (1020497.9 259186.7),E GUN HILL RD,BRONX BLVD/BRONX RIVER GREENWAY,BODY OF WATER,WB
1126449,2642,Brooklyn,2011,4,12,19,30,70,50963,POINT (1022692.2 184968),SUTTER AV,RUBY ST,N CONDUIT AV,EB
26237897,31042,Brooklyn,2019,10,13,0,30,32,31425,POINT (999716.3252513638 199216.6244232777),GRAHAM AVENUE,Ainslie Street,Devoe Street,NB
16616187,23474,Queens,2016,5,9,14,30,55,92816,POINT (1035806.3063000115 224964.1603085597),150 STREET,17 Road,17 Avenue,NB
15998657,22024,Bronx,2016,1,9,12,15,96,185731,POINT (1003543.3012676974 237654.53762354952),MAJOR DEEGAN EXPWY ET 4 NB,Dead End,Dead end,NB
23163870,29042,Manhattan,2018,9,9,23,0,4,165004,POINT (991493.5372602648 205645.63521145438),FDR DRIVE EXIT 7 NORTHBOUND,F D R Drive,Avenue C,NB
4894722,8300,Manhattan,2012,5,10,6,30,677,151988,POINT (983336.1 198638.5),BK BR EXIT RP,ROSE ST,BEND,NB
1554633,3047,Queens,2010,1,30,18,15,155,82888,POINT (1029202.5 203996.2),W/B 69 RD @ GRAND CENTRAL PKWY,GRAND CENTRAL PKWY,GRAND CENTRAL PKWY,WB
2235881,7551,Bronx,2009,12,19,18,15,96,87499,POINT (1020085.9 254198.2),BRONX PARK E @ ALLERTON AVE,MACE AV,ALLERTON AV/SOUTHERN BLVD/MOSHOLU PARKWAY GREENWAY,SB
5192407,11834,Brooklyn,2010,6,30,16,45,279,186616,POINT (986388.5 181634.6),PROSPECT AVE APPROACHING 4TH AVE,5 AV,PRE WB EXIT 2 B,WB
3258891,9670,Bronx,2011,2,14,2,45,9,77877,POINT (1016626 239622),BRONX RIVER AVE BET BRUCK NER BLVE & WATSON AVE,BRUCKNER EXWY WB EXIT 47/BRUCKNER BLVD,WATSON AV,SB
16738971,23805,Staten Island,2016,6,4,22,30,35,138,POINT (914887.6414520737 120795.60484921694),BILLOP AVENUE,Surf Avenue,Moon Avenue,EB
8401079,15789,Brooklyn,2013,12,9,17,0,15,19481,POINT (981082.1 160940.4),BAY 10 ST,BATH AV,BENSON AV,SB
2195559,7520,Queens,2009,1,15,6,15,43,156110,POINT (1034637.7 201524.2),S/B MAIN ST @ 78 ROAD,78 RD,78 AV,SB
15804277,21150,Brooklyn,2016,1,7,2,45,25,110369,POINT (998887.8 169702.6),FLATBUSH AV,NOSTRAND AV/HILLEL PL,E 31 ST,NB
22258076,27402,Manhattan,2018,1,20,23,45,49,9002554,POINT (988142.0595556787 221490.24664136246),WEST 65 STREET,Dead end,Amsterdam Avenue,EB
13369089,20428,Manhattan,2015,5,21,16,0,178,159010,POINT (997595.7248078565 226122.27919247106),PARK AVENUE,East 97 Street,East 98 Street,NB
24887702,29023,Manhattan,2018,9,10,1,15,0,71036,POINT (1002563.6992227704 240983.67301294883),MACOMBS DAM BRIDGE,Harlem River Shoreline,Harlem River Shoreline,EB
20789798,27071,Brooklyn,2017,5,12,18,45,45,148519,POINT (1001748.4248081773 165949.03600329164),KINGS HIGHWAY,Ryder Street,Flatbush Avenue,EB
25950527,31064,Queens,2019,9,27,14,45,206,152386,POINT (1041604.6557791344 215111.46293945995),UTOPIA PARKWAY,Dead End,45 Avenue,SB
12566188,18079,Bronx,2014,9,28,0,15,102,158413,POINT (1017705.2821389446 245387.82514161043),EAST TREMONT AVENUE,Connector,Bronx Street,EB
13494991,20847,Brooklyn,2015,6,21,6,45,14,26960,POINT (994544.798323979 161491.56305340352),AVENUE P,East 10 Street,Coney Island Avenue,EB
5114045,11561,Brooklyn,2012,10,5,22,45,41,19805,POINT (983736.6 169108.2),60 ST,11 AV,12 AV,EB
9214496,16721,Queens,2014,2,25,6,45,19,76788,POINT (1019604.3 215414.1),96 ST,32 AV,NORTHERN BLVD,SB
14022319,20505,Manhattan,2015,8,9,9,0,60,158733,POINT (999242.6551997195 242613.67450456656),BROADWAY,West 153 Street,West 155 Street,NB
8167822,15499,Manhattan,2013,9,8,21,30,250,69318,POINT (1002922 233495.2),3 AV BR,BOROUGH BOUNDARY,BODY OF WATER,SB
8112601,15917,Brooklyn,2013,10,29,0,45,12,43670,POINT (1006374 188517),HOWARD AV,MAC DONOUGH ST,MACON ST,NB
14494737,21616,Staten Island,2015,9,16,2,30,13,155304,POINT (945487.3035210101 138933.3873825236),HYLAN BOULEVARD,Yacht Club Cove,Fieldway Avenue,WB
16746900,23518,Brooklyn,2016,5,18,11,45,14,152019,POINT (1001357.2668591315 149986.10727286752),ORIENTAL BOULEVARD,Norfolk Street,Oxford Street,WB
21935780,26409,Manhattan,2017,11,15,8,15,237,106047,POINT (987643.2807213907 209317.56608640612),MADISON AVENUE,Dead End,East 24 Street,NB
22050264,27357,Queens,2017,12,9,6,45,84,76208,POINT (1015895.9514054625 211609.6716538139),ROOSEVELT AVENUE,79 Street,80 Street,WB
9351591,15771,Bronx,2014,3,16,4,0,70,78551,POINT (1013088 247729.5),E TREMONT AV,3 AV,MONTEREY AV,WB
8932989,16627,Manhattan,2014,2,19,12,45,0,38143,POINT (992883.9 231212.3),WEST END AV,W 105 ST,W 106 ST,NB
18678551,25058,Queens,2016,12,20,2,45,3,51315,POINT (1024922.896027974 185385.10695864333),SUTTER AVENUE,83 Street,Pitkin Avenue,EB
19215858,25784,Brooklyn,2017,4,20,0,15,48,47591,POINT (1013245.2298778904 186115.5476578465),FULTON STREET,Jamaica Line,Jamaica Line,EB
27311095,31033,Brooklyn,2019,9,24,1,30,12,27017,POINT (994324.4051614917 166956.37774187786),AVENUE J,East 12 Street,East 13 Street,WB
21569823,26516,Brooklyn,2017,10,30,5,30,2,26825,POINT (992156.1984892178 169246.01006079846),OCEAN PARKWAY,Newkirk Avenue,Parkville Avenue,NB
27058548,32407,Bronx,2020,10,21,8,45,96,276970,POINT (1004273.2748287746 236716.2231108241),EAST 144 STREET,Grand Concourse,A J Griffin Place,EB
15230510,21199,Queens,2015,11,11,8,15,71,91014,POINT (1030743.9013149706 211822.71641553272),BOOTH MEMORIAL AVENUE,College Point Boulevard,133 Street,EB
17773974,24306,Bronx,2016,9,18,6,15,18,89596,POINT (1026821.8666551325 266865.86690088146),BAYCHESTER AVENUE,Pitman Avenue,Nereid Avenue,NB
15405234,21231,Staten Island,2015,9,19,21,15,5,7886,POINT (943958.4835438603 159602.01315456274),WILLOWBROOK ROAD,Seneca Loop,Collfield Avenue,WB
14940558,21639,Manhattan,2015,10,31,9,45,333,32828,POINT (986189.0583577064 209838.12014675722),AVENUE OF THE AMERICAS,6 Avenue Line,6 Avenue Line,NB
24971212,30153,Staten Island,2019,5,6,2,0,7,155310,POINT (937086.3003772319 145782.71481616),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,SB
5940839,12347,Manhattan,2010,3,9,20,45,50,165563,POINT (993515 219411.2),E 68TH ST BET MADISON AVE & PARK AVE,MADISON AV,PARK AV,EB
19713238,26105,Brooklyn,2016,10,18,22,30,70,136599,POINT (986587.4267694655 181329.70759742492),PROSPECT EXPWY EB EN 17 ST,17 Street,Prospect Expressway,EB
2328784,7749,Queens,2012,4,18,2,45,7,67520,POINT (1003618 213535.3),38 AV,33 ST,34 ST,WB
4046113,10767,Staten Island,2011,5,25,22,30,36,15871,POINT (964179.3 165954.9),Bay St SB Between,Norwood Ave and Vanderbilt Ave,VANDERBILT AV,SB
20706818,26799,Queens,2017,4,17,16,45,86,66424,POINT (1005691.9480838224 200324.61319259694),GRAND STREET BRIDGE,Dead End,Grand Avenue,EB
12208915,18613,Bronx,2014,11,16,13,30,111,137311,POINT (1013945.1 237436.8),BRUCKNER BLVD,TIFFANY ST,BARRETTO ST,WB
26052296,30665,Bronx,2019,10,11,17,0,203,9001964,POINT (1010549.3477381446 234962.25370296094),SOUTHERN BOULEVARD,Dead End,Pelham Line,EB
10697426,17526,Brooklyn,2014,6,17,11,15,255,158088,POINT (1010191.2 177871),LINDEN BLVD,ROCKAWAY AV,CONNECTOR,WB
14797649,21819,Manhattan,2015,10,14,21,30,337,36162,POINT (992228.5398469993 217580.87718717236),MADISON AVENUE,East 59 Street,Astoria Line,NB
8978202,15800,Queens,2013,10,18,16,45,51,56408,POINT (1033289.2 199765.2),135 ST,COOLIDGE AV,82 AV,SB
12111293,18613,Brooklyn,2014,11,4,16,30,127,28725,POINT (998644.9 176412.7),CHURCH AV,FAIRVIEW PL/E 31 ST,E 32 ST/RALEIGH PL,WB
4671422,11077,Brooklyn,2012,10,16,11,30,24,22379,POINT (985703.6 186413.9),3 ST,SMITH ST,HOYT ST,EB
27297986,31033,Brooklyn,2019,10,13,12,15,82,22921,POINT (989426.2978310136 188617.49542540452),3 AVENUE,Pacific Street,Dean Street,SB
1393231,2874,Manhattan,2010,3,18,15,15,372,32660,POINT (986591.7 200169.9),W/B DELANCEY ST @ ALLEN ST,ALLEN ST,ORCHARD ST,WB
9838326,17556,Manhattan,2014,7,12,7,45,283,137844,POINT (991241.4 201407.5),F D R DR,E HOUSTON ST,FDR DR NB EN E HOUSTON ST/E 5 WALK PEDESTRIAN OPAS,NB
20443801,26238,Brooklyn,2017,6,19,11,15,47,39943,POINT (1002503.8394261238 155875.31862627028),AVENUE X,Brigham Street,Bragg Street,EB
14928681,21639,Manhattan,2015,11,2,16,30,163,164405,POINT (987646.6218149381 209159.62702472598),EAST 23 STREET,Madison Avenue,Park Avenue South,WB
25425029,30520,Manhattan,2019,6,15,23,30,0,32845,POINT (987884.0919930196 200136.02257949812),GRAND STREET,Suffolk Street,Clinton Street,EB
13642289,20585,Brooklyn,2015,6,10,13,30,71,31401,POINT (999349.7278420378 198355.76846273834),MANHATTAN AVENUE,Maujer Street,Grand Street,NB
4924582,8000,Manhattan,2012,5,5,4,45,6,24366,POINT (987083.7 199504.2),CANAL ST,RUTGERS ST/ESSEX ST,E BROADWAY,WB
14202793,19371,Bronx,2015,6,3,23,15,38,77772,POINT (1016140.4147655893 239106.0645904923),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,WB
6243428,11561,Brooklyn,2012,10,2,0,0,55,19566,POINT (982299.4 168550.7),65 ST,10 AV,11 AV,WB
9366566,15798,Brooklyn,2014,3,9,15,15,18,127475,POINT (997437.7 173064),E 26 ST,AV D,CLARENDON RD,NB
9436272,16875,Bronx,2014,3,23,3,45,8,87499,POINT (1020085.9 254198.2),BRONX PARK E,MACE AV,ALLERTON AV/SOUTHERN BLVD/MOSHOLU PARKWAY GREENWAY,NB
10599949,17394,Bronx,2014,6,22,11,45,87,107110,POINT (1014235.1 238536.6),SOUTHERN BLVD,E 163 ST/HUNTS PT AV,ALDUS ST,SB
22695626,28083,Brooklyn,2018,4,23,12,30,106,44230,POINT (1000627.8326373032 199663.99731275623),METROPOLITAN AVENUE,Orient Avenue,Olive Street,EB
21238094,27019,Brooklyn,2017,11,8,1,15,0,27929,POINT (991691.7099413484 177676.5448103469),PROSPECT PARK SOUTHWEST,Reeve Place,Vanderbilt Street,NB
7952595,15972,Manhattan,2013,10,25,15,30,299,36026,POINT (991916 218063.7),5 AV,C P E 60 APPR/E 60 ST,E 61 ST,SB
22984844,28407,Brooklyn,2018,6,5,20,30,4,144427,POINT (1006475.489577525 179812.3624677662),CONNECTOR,Kings Highway,Kings Highway,NB
1092233,2611,Brooklyn,2011,2,22,18,15,0,163736,POINT (994068.5 187791),S/B WASHINGTON AVE @ ATLANTIC AVE,FULTON ST,ATLANTIC AV,SB
13428251,20328,Manhattan,2015,5,18,12,45,214,37572,POINT (995588.8172820965 223645.04997937215),MADISON AVENUE,East 85 Street,East 86 Street,NB
12409796,18040,Brooklyn,2014,10,4,22,15,39,120627,POINT (978973.6752841898 171258.3997070256),5 AVENUE,65 Street,Gowanus Expressway,NB
24823453,30153,Queens,2019,3,28,0,30,22,117626,POINT (1057869.2961045634 220710.07433035847),NORTHERN BOULEVARD,Morgan Street,Glenwood Street,EB
5916613,12324,Manhattan,2009,11,24,16,45,256,158877,POINT (996648.4 237924.4),BROADWAY NB APPROACH TO W 135TH ST,WEST 134 STREET,WEST 135 STREET,NB
14844390,21795,Queens,2015,10,21,15,45,106,57284,POINT (1038903.4559013866 197232.87066816428),PARSONS BOULEVARD,Highland Avenue,Hillside Avenue,SB
18499861,23837,Brooklyn,2016,10,21,16,45,130,19437,POINT (981243.6150486242 166018.68656875778),BAY RIDGE PARKWAY,11 Avenue,12 Avenue,WB
22739029,28538,Queens,2015,11,2,4,45,30,150611,POINT (1040528.9004955699 194494.8618961252),LIBERTY AVENUE,Dead End,160 Street,EB
3599507,8212,Brooklyn,2012,5,7,23,0,92,28853,POINT (999653.9 177166.4),LINDEN BLVD,E 35 ST,BROOKLYN AV,EB
7869381,16192,Queens,2013,11,12,21,15,189,156779,POINT (1024404.7 195174.7),WOODHAVEN BLVD,MYRTLE AV,FOREST PARK DR,NB
19457607,25940,Brooklyn,2016,9,15,9,0,104,22023,POINT (983827.2448556411 189740.3576612748),COLUMBIA STREET,Irving Street,Kane Street,NB
26736344,31065,Manhattan,2019,10,7,18,30,553,229411,POINT (980777.624927884 200863.62012947293),WEST STREET,Tribeca Bridge,Dead end,NB
14131597,20968,Manhattan,2015,8,10,18,15,127,257468,POINT (990438.1007516602 218453.16670742154),CENTRAL PARK SOUTH,Astoria Line,63 Street Line,EB
14314111,19646,Queens,2015,4,17,5,45,26,62211,POINT (1055099.554239878 161620.13182897906),CENTRAL AVENUE,Dead End,Virginia Street,WB
14566774,21695,Queens,2015,9,28,13,15,15,153123,POINT (1062175.6492225302 211572.57859777618),74 AVENUE,255 Street,Little Neck Parkway,WB
23268479,29228,Brooklyn,2018,10,18,11,0,36,42722,POINT (1008993.7817406469 174289.1806099968),FOSTER AVENUE,East 92 Street,Remsen Avenue,WB
17971132,24687,Manhattan,2016,11,2,22,15,2,115270,POINT (993242.36079448 220764.975348997),TERRACE DRIVE,5 Avenue,East Drive,WB
6158053,12559,Manhattan,2011,9,19,14,45,136,32830,POINT (985850.5 210155.3),23RD ST APPROACH TO 7TH AVE,AVE OF THE AMERICAS,7 AV,WB
9287294,16888,Brooklyn,2014,3,16,6,0,1,34895,POINT (994846.8 201727.8),N 7 ST,DEAD END,KENT AV,WB
22795696,28370,Queens,2018,6,21,6,30,17,55320,POINT (1036942.4513736303 186361.43126876577),130 STREET,115 Avenue,116 Avenue,SB
17055761,22694,Queens,2016,5,2,7,0,624,101312,POINT (1052996.8228245766 217496.97689001195),LITTLE NECK BRIDGE,Alley Creek Shoreline,Alley Creek Shoreline,WB
17759160,24306,Bronx,2016,9,17,22,45,67,131432,POINT (1027743.2653947077 263710.1716579021),BAYCHESTER AVENUE,Alley,Strang Avenue,SB
18382114,24818,Queens,2016,11,15,22,15,7,98429,POINT (1049080.4823363207 210558.3703392146),210 STREET,Oceania Street,64 Avenue,NB
10840093,17506,Manhattan,2014,9,7,16,30,127,37736,POINT (997666.8 220491.9),E 79 ST,1 AV,YORK AV,EB
23357691,29140,Manhattan,2018,10,16,18,45,242,37079,POINT (990734.5716140385 221760.21703154923),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,NB
11137138,18175,Brooklyn,2014,9,10,11,0,47,149856,POINT (1016002.633958592 180095.91461863898),LINDEN BOULEVARD,Hendrix Street,Van Siclen Avenue,WB
4849230,10251,Queens,2012,8,9,1,45,8,99008,POINT (1043586.1 226745.8),CROSS ISLE PKWY SR S,ESTATES LA,208 PL,WB
13217135,19230,Brooklyn,2015,4,28,12,15,210,30319,POINT (993676.3917409923 192831.71980956983),PARK AVENUE,Ryerson Street,Hall Street,WB
21701420,26599,Brooklyn,2017,11,11,0,45,9,29473,POINT (995951.7192235454 188983.74716072975),GATES AVENUE,Classon Avenue,Franklin Avenue,EB
11371228,18916,Queens,2014,11,20,1,45,0,75979,POINT (1013275.6625662467 216964.75499600012),25 AVENUE,72 Street,73 Street,EB
3680532,8248,Manhattan,2012,6,18,12,30,124,38516,POINT (996553.7 235314.2),WEST 125 STREET,REVEREND DR ALFOYD ALSTON WAY,BEND,WB
26367924,31033,Brooklyn,2019,10,15,3,0,7,26054,POINT (997739.5774432515 151811.26489480332),EMMONS AVENUE,East 16 Street,Sheepshead Bay Road,WB
20975526,26734,Manhattan,2017,10,30,0,45,2,188852,POINT (994560.1811381084 216510.54472223372),ED KOCH QUEENSBORO BRIDGE EXIT,Astoria Line,Dead end,NB
12934207,19746,Queens,2015,3,10,17,45,82,266714,POINT (1009709.8255963454 210787.62493203316),ROOSEVELT AVENUE,Flushing Line,57 Street,WB
21678336,27061,Queens,2017,11,8,13,45,86,66861,POINT (1008213.4544039029 202689.35598083667),MASPETH AVENUE,Rust Street,57 Place,WB
16245848,22540,Brooklyn,2016,3,8,20,45,43,21100,POINT (984306.3676644673 175480.864622856),7 AVENUE,39 Street,40 Street,SB
741923,2127,Queens,2009,6,30,15,45,10,131005,POINT (1024186.3 201242.6),W/B GROTON ST @  YELLOWSTONE BLVD,YELLOWSTONE BLVD,ALLEY,WB
11684580,18043,Brooklyn,2014,11,6,12,45,117,232619,POINT (1014538.0844786431 151039.16552983294),FLATBUSH AVENUE,Flatbush Avenue Greenway,Dead end,NB
16582597,23320,Staten Island,2016,4,20,22,45,26,11056,POINT (957574.8718026668 147338.777706926),GREELEY AVENUE,Grimsby Street,Freeborn Street,SB
18118435,24893,Manhattan,2016,9,20,4,0,135,258712,POINT (1003879.4003926999 231993.45541687228),WILLIS AVENUE BRIDGE,Harlem River Drive Exit 18 Nb,Harlem River Shoreline,NB
11448470,17887,Staten Island,2014,8,26,3,45,6,150838,POINT (919484.023056366 130546.46251563799),BOSCOMBE AVENUE,Madsen Avenue,W Shore Expressway Exit 1 Nb,WB
18948809,25148,Brooklyn,2017,2,1,16,0,157,41442,POINT (1007208.6874247084 165128.40094194893),RALPH AVENUE,East 64 Street,Avenue N,SB
14228318,19461,Bronx,2015,3,15,10,30,163,146686,POINT (1034097.6063609987 263665.9539607455),BOSTON ROAD,Dead End,Dead end,SB
6771768,14380,Brooklyn,2013,5,16,10,15,173,19781,POINT (983522.2 167581.1),65 ST,12 AV,13 AV,EB
22974908,28260,Queens,2018,6,19,8,30,28,68976,POINT (1008168.345039228 224582.02365271503),21 STREET,20 Avenue,21 Avenue,NB
21142562,27240,Brooklyn,2017,11,13,13,0,65,9003172,POINT (1022369.532202011 182588.71716047547),LORING AVENUE,Dead End,Eldert Lane,EB
13345491,20328,Manhattan,2015,5,14,20,30,217,37427,POINT (993310.6585643171 228263.31010486642),COLUMBUS AVENUE,West 97 Street,West 96 Street,SB
27158529,32407,Bronx,2021,5,7,20,0,22,177876,POINT (1020225.7703938734 243931.0616106831),ROSEDALE AVENUE,Cross Bronx Expressway,Cross Bronx Expressway Sr North,SB
11334170,18436,Manhattan,2014,10,22,11,15,1,115270,POINT (993231.4745763666 220769.58418042894),TERRACE DRIVE,East Drive,5 Avenue,WB
11851169,18865,Manhattan,2014,11,19,3,15,95,115287,POINT (993992.247563928 224776.423528343),86 ST TRANSVERSE,Dead End,Dead end,EB
