bin,year,idw_atvc
1010689,2018,123.35033421770845
1010689,2019,147.05896153103404
1010689,2020,304.0253859868956
1044690,2018,151.54003772666266
1044690,2019,189.1121861511612
1044690,2020,239.7137912930312
1030169,2018,126.41687496991361
1030169,2019,155.39902516278613
1030169,2020,245.75626344134685
1084099,2018,100.98860728625893
1084099,2019,140.35527079527597
1084099,2020,284.40571559657366
1089415,2018,88.85790979090433
1089415,2019,146.77703431630312
1089415,2020,285.662060711536
1010378,2018,141.54227703651614
1010378,2019,166.081512380348
1010378,2020,318.6881039580368
1005819,2018,120.41543773734232
1005819,2019,134.8531633021432
1005819,2020,326.09917779942333
1081486,2018,118.06586192936724
1081486,2019,162.55645362173024
1081486,2020,235.96925063516318
1014593,2018,142.40118035676215
1014593,2019,144.2316644135286
1014593,2020,291.13279594635856
1060194,2018,106.71510828881686
1060194,2019,154.6583494436866
1060194,2020,262.9592111058038
1082255,2018,139.68935670366696
1082255,2019,177.88385618967303
1082255,2020,261.60640129106264
1062060,2018,95.317921201729
1062060,2019,110.47622527899641
1062060,2020,293.6631313962092
1004742,2018,111.98062407326965
1004742,2019,124.58748939266331
1004742,2020,335.40967239572825
1011102,2018,133.86212672204175
1011102,2019,121.85353104996287
1011102,2020,294.2141855783397
1082278,2018,157.33509155607712
1082278,2019,182.13107259248463
1082278,2020,252.96989746139025
1034225,2018,142.47694609207116
1034225,2019,191.48490842600023
1034225,2020,243.32701092922304
1046785,2018,129.3897849018749
1046785,2019,159.66671325338456
1046785,2020,252.23123062229786
1006453,2018,130.0034009416687
1006453,2019,141.65790822512727
1006453,2020,320.2038141152514
1024845,2018,141.2030470517203
1024845,2019,183.6626585412641
1024845,2020,208.1689509021013
1055766,2018,98.95171107310756
1055766,2019,142.95535604496408
1055766,2020,279.6304979838742
1059646,2018,91.65240395753034
1059646,2019,93.28626009433223
1059646,2020,282.76718181614797
1078258,2018,144.64220338660294
1078258,2019,197.9340626127441
1078258,2020,251.68996740835564
1063806,2018,134.7192575286539
1063806,2019,144.6425767260166
1063806,2020,371.94711542261274
1005775,2018,119.01083476699652
1005775,2019,133.61414252336047
1005775,2020,328.0588952676791
1002843,2018,101.59001818037562
1002843,2019,171.4568811954728
1002843,2020,330.42267349274965
1050475,2018,127.07597836770988
1050475,2019,168.30418251788714
1050475,2020,260.61179801879825
1084202,2018,124.1183153387437
1084202,2019,139.00603413787542
1084202,2020,354.8121091844347
1032680,2018,128.72311378835104
1032680,2019,159.70497177991317
1032680,2020,253.84507585804315
1085952,2018,112.25127465811123
1085952,2019,143.34601792601893
1085952,2020,351.00492342521017
1043352,2018,157.5441893799543
1043352,2019,194.38087002865547
1043352,2020,234.72868578401398
1039622,2018,141.0417073557752
1039622,2019,202.47858435133946
1039622,2020,246.64621703149336
1077359,2018,126.5581631728606
1077359,2019,153.87550591586736
1077359,2020,246.77803765534424
1082485,2018,129.08545694071373
1082485,2019,137.97355410097293
1082485,2020,319.2197992264686
1056690,2018,104.89845511904304
1056690,2019,139.4756397653141
1056690,2020,277.0217588756151
1059824,2018,93.77233637639507
1059824,2019,125.16713359423126
1059824,2020,282.1203450682745
1043163,2018,140.06119010764198
1043163,2019,167.85404859518744
1043163,2020,242.50305314070204
1020156,2018,125.64597203207862
1020156,2019,243.27532327442435
1020156,2020,270.78959785989167
1089879,2018,133.5633003206712
1089879,2019,153.01537866392488
1089879,2020,288.31182708639295
1064129,2018,132.30585191793824
1064129,2019,155.66431661018333
1064129,2020,332.6929134657851
1026418,2018,153.39732371367805
1026418,2019,187.02396580494224
1026418,2020,246.91261183217063
1066760,2018,123.65674356735967
1066760,2019,150.48410297968465
1066760,2020,335.32053053552875
1003256,2018,112.70622693272803
1003256,2019,143.3686600316255
1003256,2020,352.42489963789984
1089117,2018,99.7002017575785
1089117,2019,142.33557322249646
1089117,2020,284.72333190564035
1089207,2018,133.78202320669945
1089207,2019,160.6893546642418
1089207,2020,299.8441449347412
1020177,2018,127.58761192248024
1020177,2019,188.7034850363027
1020177,2020,268.8884308065329
1032028,2018,119.87213226546751
1032028,2019,159.99419103592672
1032028,2020,251.25173958726268
1082057,2018,129.00640790357826
1082057,2019,159.02847307825
1082057,2020,280.15244122661045
1001268,2018,114.95244553964511
1001268,2019,148.23321051957367
1001268,2020,375.9684490709293
1029749,2018,121.15067324039265
1029749,2019,166.12972542879754
1029749,2020,233.03288955497544
1022577,2018,141.90493962197473
1022577,2019,178.10178264560037
1022577,2020,248.49495086634403
1081219,2018,147.6136893781117
1081219,2019,180.28294939088184
1081219,2020,235.37775674916983
1025136,2018,155.68389534099248
1025136,2019,187.14589827673433
1025136,2020,235.5113781048705
1090955,2018,124.96513549343743
1090955,2019,187.5995133928728
1090955,2020,282.5171520194022
1002605,2018,114.14227858302553
1002605,2019,145.72232922566707
1002605,2020,351.38264714477623
1003749,2018,69.14673283627204
1003749,2019,127.08515238115068
1003749,2020,369.2209202501162
1024777,2018,142.01769350377845
1024777,2019,190.88980627304898
1024777,2020,230.89634454635677
1034827,2018,140.87040004714805
1034827,2019,186.41550165275353
1034827,2020,212.7068600655467
1086963,2018,99.5924236338969
1086963,2019,142.74221899280425
1086963,2020,284.8508410625817
1087122,2018,204.65198825527335
1087122,2019,183.20582262831158
1087122,2020,233.63415991160147
1048761,2018,130.79588713793774
1048761,2019,163.59053662103426
1048761,2020,257.2520256125388
1080218,2018,132.9807391315307
1080218,2019,131.47654771159625
1080218,2020,294.0288092301593
1019142,2018,129.4352380985165
1019142,2019,189.6694363832601
1019142,2020,261.16359630959147
1004544,2018,112.8156479268993
1004544,2019,106.19383905531741
1004544,2020,338.0778774752596
1036060,2018,145.96540285585408
1036060,2019,184.8982611385789
1036060,2020,199.33161596994762
1004751,2018,111.73130506818052
1004751,2019,121.04589568764787
1004751,2020,338.41135909108846
1087898,2018,116.00167726470791
1087898,2019,157.50479524116918
1087898,2020,340.4102232628815
1053008,2018,121.89834762407918
1053008,2019,157.71336141653876
1053008,2020,299.5817989293725
1015677,2018,137.46005953108
1015677,2019,167.53198835561162
