cdtaname,lat,lon
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.766926100863664,-73.96476633494787
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.75911188568594,-73.99027921142289
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.76030758868875,-73.99311908739338
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.76828117783039,-73.96798405103978
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.75984064060901,-73.98417553104912
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.76799408107067,-73.95740673835355
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.76896733936568,-73.9597080293592
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.76223834459438,-73.9898565520538
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.77273604490036,-73.9647335331232
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.762345809854565,-73.98235350958424
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.76870128714917,-73.95206875524795
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.76983057222743,-73.94972087111296
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.76473810248634,-73.98803496420199
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.77201139360226,-73.94625310990148
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.77186972030801,-73.94854459936018
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.77884100044104,-73.95607288391014
MN07 Upper West Side (CD 7 Approximation),40.772351414713675,-73.98248669495915
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.78019611318281,-73.9592835540632
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.782448101848836,-73.95764802977116
MN07 Upper West Side (CD 7 Approximation),40.77383964061912,-73.98697181845769
MN07 Upper West Side (CD 7 Approximation),40.774261874637766,-73.9792406309809
MN07 Upper West Side (CD 7 Approximation),40.77545253396178,-73.98208084314079
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.78040817255056,-73.94981417189315
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.78150487779938,-73.94754738059518
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.78247580134304,-73.94985218290007
MN07 Upper West Side (CD 7 Approximation),40.7766509584099,-73.98491820946646
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.783568627195784,-73.94750231142234
MN11 East Harlem (CD 11 Equivalent),40.78518163644186,-73.94632436559155
MN07 Upper West Side (CD 7 Approximation),40.77741706399605,-73.978786052333
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.78427785782528,-73.95210371390237
MN11 East Harlem (CD 11 Equivalent),40.7865225582987,-73.95047444226876
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.78563356128423,-73.95532275819843
MN07 Upper West Side (CD 7 Approximation),40.779948148257944,-73.9771929156556
MN11 East Harlem (CD 11 Equivalent),40.78795823583974,-73.9396755176945
MN11 East Harlem (CD 11 Equivalent),40.78771224983041,-73.9444722844186
MN07 Upper West Side (CD 7 Approximation),40.78235777982996,-73.97499829287582
MN11 East Harlem (CD 11 Equivalent),40.78936979937162,-73.94838363838151
MN07 Upper West Side (CD 7 Approximation),40.78519566643155,-73.97311965461937
MN11 East Harlem (CD 11 Equivalent),40.790902613551694,-73.94214663792756
MN07 Upper West Side (CD 7 Approximation),40.78782510953535,-73.97927658993291
MN11 East Harlem (CD 11 Equivalent),40.793824837668026,-73.945132962863
MN07 Upper West Side (CD 7 Approximation),40.78777077289838,-73.97123676556014
MN11 East Harlem (CD 11 Equivalent),40.7948861038331,-73.94857461985413
MN11 East Harlem (CD 11 Equivalent),40.796800616688714,-73.94715935571901
MN07 Upper West Side (CD 7 Approximation),40.790408311457924,-73.97752106313935
MN07 Upper West Side (CD 7 Approximation),40.79030792356523,-73.9693888301059
MN11 East Harlem (CD 11 Equivalent),40.7944019647442,-73.93959541465
MN07 Upper West Side (CD 7 Approximation),40.792555221566445,-73.96774569584116
MN11 East Harlem (CD 11 Equivalent),40.79968518169946,-73.94506538133847
MN10 Harlem (CD 10 Equivalent),40.79910225841268,-73.9497071260608
MN07 Upper West Side (CD 7 Approximation),40.79809132488248,-73.97200788311619
MN07 Upper West Side (CD 7 Approximation),40.80050464633006,-73.96195526204546
MN07 Upper West Side (CD 7 Approximation),40.80315575028628,-73.96833063898647
MN11 East Harlem (CD 11 Equivalent),40.80280715267567,-73.93857020453714
MN10 Harlem (CD 10 Equivalent),40.80219105961816,-73.95798715499288
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.80571198971207,-73.96653281113615
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.81024954443036,-73.9651228305967
MN11 East Harlem (CD 11 Equivalent),40.808291309065105,-73.93878341499567
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.80897488587449,-73.95846100695529
MN10 Harlem (CD 10 Equivalent),40.809648560594134,-73.94200773817532
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.81456738259698,-73.95314673776659
MN10 Harlem (CD 10 Equivalent),40.81352782896041,-73.94947113496998
MN10 Harlem (CD 10 Equivalent),40.800674818496645,-73.95438475797634
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.81792420603215,-73.94975939490668
MN10 Harlem (CD 10 Equivalent),40.803222402367766,-73.95252457078351
MN10 Harlem (CD 10 Equivalent),40.805783805149524,-73.9506567210436
MN10 Harlem (CD 10 Equivalent),40.81865504365462,-73.9461856688384
MN10 Harlem (CD 10 Equivalent),40.808340209542834,-73.9487875194371
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.821141635317005,-73.9550058771017
MN10 Harlem (CD 10 Equivalent),40.811123203473336,-73.94695592676189
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.82383399379213,-73.95415930352313
MN10 Harlem (CD 10 Equivalent),40.81343511295081,-73.94481139092917
MN10 Harlem (CD 10 Equivalent),40.81592970323629,-73.943245625386
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.825828264043864,-73.94409943594928
MN10 Harlem (CD 10 Equivalent),40.82372741280216,-73.93866455997961
MN10 Harlem (CD 10 Equivalent),40.827898761232525,-73.93892493121949
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.834125076233335,-73.94606580753567
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.83597377272874,-73.9387580748537
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.838345436056656,-73.94624567608412
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.8391289316325,-73.93644959499571
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.845450883535484,-73.94392810085857
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.849635424926724,-73.94009971395359
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.850335805838995,-73.92863318231508
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.85055674168317,-73.93097473840744
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.85194197235693,-73.93429388077334
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.856958481395516,-73.93459746574764
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.86592572734843,-73.92011962824972
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.86752298866396,-73.9249408913051
BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),40.875965512019064,-73.91037371350424
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.72735929823678,-73.98845488477824
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.71435304558629,-73.97755211589525
MN01 Financial District-Tribeca (CD 1 Equivalent),40.70699154631877,-74.00492583009601
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.73384085490241,-73.98369525505666
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.73094817912153,-73.97658211911151
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.73693864184785,-73.9814554726696
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.82592574349988,-73.9517176632718
MN11 East Harlem (CD 11 Equivalent),40.79478094967236,-73.93364053025125
MN01 Financial District-Tribeca (CD 1 Equivalent),40.68895372699271,-74.01695372779727
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.82899127032329,-73.94183839503559
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.82024335969004,-73.95742555496011
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.76669973226677,-73.95383567247258
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.85585900676525,-73.93163189392892
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.85891032283932,-73.92872212668765
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.86150036991961,-73.92804855623766
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.77525000108459,-73.94753512356952
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.71595722083596,-73.99326630066656
