neighborhood,name,place_id,price_level,rating,user_ratings_total,business_status,adr_address,formatted_address,lat,lng
Baychester,Fratelli Italian Restaurant,ChIJS8k8mVLzwokR5UCKN2cv-Hg,2.0,4.5,541,OPERATIONAL,,"2507 Eastchester Rd, Bronx, NY 10469",40.8631065,-73.8437266
Baychester,La Masa Restaurant,ChIJ3VWZDWP1wokRBL5pzP09YLM,2.0,4.2,77,OPERATIONAL,,"2542 E Tremont Ave, Bronx, NY 10461",40.8426947,-73.8490022
Baychester,Los Primos Restaurant,ChIJ-49lumfzwokR_1uf9Ui5Ejs,1.0,3.7,205,OPERATIONAL,,"698 Allerton Ave, Bronx, NY 10467",40.8652553,-73.867592
Baychester,3815 El Meson Restaurant,ChIJudVuSIXzwokRsrQpyXp6oc4,2.0,3.8,56,OPERATIONAL,,"3815 White Plains Rd, Bronx, NY 10467",40.8841388,-73.8628285
Baychester,Oasis Mediterranean Restaurant,ChIJ2z0XJZj0wokRSocBHTGEIP8,2.0,4.1,575,OPERATIONAL,,"1907 White Plains Rd, Bronx, NY 10462",40.8477323,-73.8675042
Baychester,Cooler Runnings Jamaican Restaurant,ChIJWyjHsdbywokRglUYomR1hZA,1.0,3.8,1113,OPERATIONAL,,"1802 Nereid Ave, Bronx, NY 10466",40.8980556,-73.8502778
Baychester,LA-TAZA,ChIJo-vBHHjzwokRmlM-pfO9wp4,1.0,4.0,5,OPERATIONAL,,"3962 White Plains Rd, Bronx, NY 10466",40.88737820000001,-73.8603725
Baychester,Golden Krust Caribbean Restaurant,ChIJ4aFT_DzzwokRstmee5h0IUU,1.0,4.0,368,OPERATIONAL,,"3812 White Plains Rd, Bronx, NY 10467",40.883937,-73.862393
Baychester,"Fish N' Ting Restaurant, Bar & Lounge",ChIJlbT7G9qMwokREoyk1dFJFJg,2.0,4.2,1307,OPERATIONAL,,"4063 Boston Rd, Bronx, NY 10466",40.8856793,-73.8291328
Baychester,Triple Deuce Restaurant & Grill,ChIJudvGaXjzwokRfX6GljmrDGo,2.0,4.3,190,OPERATIONAL,,"3601 Boston Rd, Bronx, NY 10466",40.8793162,-73.843311
Baychester,Estrellita Poblana II,ChIJP5GNdmjzwokRZ1PhLwuqawg,2.0,4.2,1493,OPERATIONAL,,"2819 White Plains Rd, Bronx, NY 10467",40.8670839,-73.86754309999999
Baychester,Barry's restaurant,ChIJX4urgCfzwokRzYtrrSEoz4I,,3.8,19,OPERATIONAL,,"707 E 235th St, Bronx, NY 10466",40.8948751,-73.8562833
Baychester,Kiraku Japanese Restaurant,ChIJb8Jm2Kf0wokRH-aNT2PHVR0,2.0,4.3,295,OPERATIONAL,,"1948 Williamsbridge Rd, Bronx, NY 10461",40.8534129,-73.8535273
Baychester,G&S Restaurant And Lounge,ChIJYcGMQZvzwokRf6Gl9V--cFg,2.0,4.3,28,OPERATIONAL,,"4386 White Plains Rd, Bronx, NY 10466",40.8980121,-73.8544658
Baychester,Orrico's Italian Restaurant,ChIJsX6yEXiLwokRKUW404YWmw4,,4.6,229,OPERATIONAL,,"3019 Westchester Ave, Bronx, NY 10461",40.84769439999999,-73.8317802
Baychester,La Masa Restaurant,ChIJ00vjakAPZkARCN3AjL8J_8A,2.0,4.1,1283,OPERATIONAL,,"1000 Morris Park Ave, Bronx, NY 10462",40.8479945,-73.8559448
Baychester,Columbus Diner,ChIJR8uNLkGNwokRPckQD1XTWCA,1.0,4.3,1910,OPERATIONAL,,"754 S Columbus Ave, Mt Vernon, NY 10550",40.8944573,-73.8242731
Baychester,El Nuevo Pollo Sabroso 2,ChIJGW_drZf0wokR7VF3L6WXv20,1.0,4.0,518,OPERATIONAL,,"651 Morris Park Ave, Bronx, NY 10462",40.8450509,-73.8676669
Baychester,Triple J's Restaurant LLC,ChIJT41SPPfzwokRtQcPDiscG-0,,4.9,55,OPERATIONAL,,"3563b Boston Rd, Bronx, NY 10469",40.8784594,-73.844572
Baychester,Tana Thai Restaurant,ChIJMafI46r0wokRQoXwcPBlm-8,2.0,3.6,331,OPERATIONAL,,"1890 Eastchester Rd, Bronx, NY 10461",40.8514025,-73.8438173
Baychester,Golden Krust Caribbean Restaurant,ChIJAa3mZhXzwokRvEeED0Jqa6Y,1.0,4.1,219,OPERATIONAL,,"3538 White Plains Rd, Bronx, NY 10466",40.87802000000001,-73.86569999999999
Baychester,Golden Krust Caribbean Restaurant,ChIJLVnBw2fzwokRwNEUXmoo8FA,1.0,3.8,280,OPERATIONAL,,"2718 White Plains Rd, Bronx, NY 10467",40.8660222,-73.8671475
Baychester,JERK HOUSE CARIBBEAN RESTAURANT,ChIJDbt9fyfzwokRLzPHpDRWqfM,2.0,4.2,522,OPERATIONAL,,"4246 White Plains Rd, Bronx, NY 10466",40.8946845,-73.8564696
Baychester,Mile Gully Restaurant & Lounge,ChIJ9W8gKTTzwokRutNn5v1vZNQ,,3.7,9,OPERATIONAL,,"Bronx, NY 10469",40.8768428,-73.84750439999999
Baychester,Burger Time,ChIJIx30Xq_0wokRHX60LAInVpQ,1.0,4.2,339,OPERATIONAL,,"1080 Morris Park Ave, Bronx, NY 10461",40.8490589,-73.853415
Baychester,Alwaha Restaurant,ChIJzfNrPWT1wokR7FeZZpz3-ik,2.0,4.2,17,OPERATIONAL,,"1907 White Plains Rd, Bronx, NY 10462",40.8477323,-73.8675042
Baychester,Lin’s Asian Cuisine,ChIJOWedJCH1wokRZ6GIUwx53tU,2.0,4.3,199,OPERATIONAL,,"1506 Bronxdale Ave, Bronx, NY 10462",40.8427071,-73.8537226
Baychester,Golden Krust Caribbean Restaurant,ChIJTUoapEvzwokROJT3snpeyJ4,1.0,4.0,567,OPERATIONAL,,"1381 E Gun Hill Rd, Bronx, NY 10469",40.8702314,-73.84542820000001
Baychester,Rocatone Seafood Restaurant,ChIJlyYcuj3zwokRmkvW5b9a8Ls,1.0,4.2,827,OPERATIONAL,,"3740 White Plains Rd, Bronx, NY 10467",40.8825785,-73.86308650000001
Bedford Park,Sazón y Sabores Restaurant,ChIJURlJDkb1wokReCC-KAmrbb0,2.0,4.5,37,OPERATIONAL,,"485 E 180th St, Bronx, NY 10457",40.8515057,-73.8952111
Bedford Park,Pine Restaurant,ChIJIcUqAKP0wokRJzfqJIeeYkA,2.0,4.5,4247,OPERATIONAL,,"1913 Bronxdale Ave, Bronx, NY 10462",40.8487296,-73.8622597
Bedford Park,Montezuma Restaurant,ChIJCw8XbY_zwokRdoPMNOoJM4Y,2.0,4.3,1146,OPERATIONAL,,"119 W Kingsbridge Rd, Bronx, NY 10468",40.8687066,-73.9019563
Bedford Park,Steven Restaurant,ChIJnWOcNGDzwokRJlcT_yukyhM,2.0,4.0,185,OPERATIONAL,,"2233 Boston Rd, Bronx, NY 10467",40.858492,-73.8681398
Bedford Park,Delicias Dominican Restaurant,ChIJx3BgY9v1wokRQGmpS4VYrU8,2.0,4.3,73,OPERATIONAL,,"2419 Grand Concourse, Bronx, NY 10468",40.8607652,-73.8984887
Bedford Park,J Flava Caribbean Restaurant,ChIJTfRvjYP1wokRO4Usuo2xqC8,2.0,2.7,9,OPERATIONAL,,"746 Lydig Ave, Bronx, NY 10462",40.8542759,-73.8660268
Bedford Park,Fuego Típico Restaurant,ChIJTcd9Lh_zwokRNvl29a-in68,,3.9,72,OPERATIONAL,,"2467 Grand Concourse, Bronx, NY 10468",40.861715,-73.8979114
Bedford Park,El tequila sunrise restaurant,ChIJUc3F6Mb1wokRv8rynhFfyzs,2.0,4.1,47,OPERATIONAL,,"132 W Fordham Rd, Bronx, NY 10468",40.8626661,-73.90703239999999
Bedford Park,Elena's Mexican Restaurant,ChIJ2963oW30wokR-QHpyjGWmww,2.0,3.6,277,OPERATIONAL,,"5 W Tremont Ave, Bronx, NY 10453",40.852131,-73.90959400000001
Bedford Park,Bravo African Restaurant,ChIJzxnlsD3zwokRQn_fFQKyss0,1.0,4.0,158,OPERATIONAL,,"3744 White Plains Rd, Bronx, NY 10467",40.8827361,-73.8630719
Bedford Park,la estrella restaurant,ChIJs7wVgLn1wokRbaji3Nzt9N8,,4.3,21,OPERATIONAL,,"2051 Webster Ave, Bronx, NY 10457",40.8514649,-73.89903249999999
Bedford Park,King Hummingbird Restaurant Inc.,ChIJ0ZPX0TfzwokRkDfKf4Bd4_A,1.0,4.3,191,OPERATIONAL,,"3377 Boston Rd, Bronx, NY 10469",40.8753148,-73.8513329
Bedford Park,El Sazón Ideal,ChIJF0hZnRL0wokRfT6YrdgrMG8,,4.1,69,OPERATIONAL,,"148 W Burnside Ave, Bronx, NY 10453",40.8538179,-73.9146428
Bedford Park,Roys Restaurant Bar,ChIJp5qaq4v0wokRJ1a9RJ6cBWQ,1.0,4.0,885,OPERATIONAL,,"880 E Tremont Ave, Bronx, NY 10460",40.8427224,-73.8859136
Bedford Park,Guadalupe Restaurant,ChIJv-bh-PbzwokR-AR_g9KRXLY,2.0,4.4,1528,OPERATIONAL,,"597 W 207th St, New York, NY 10034",40.8673791,-73.9206974
Bedford Park,Soo Jamaica Caribbean Restaurant,ChIJzbp_xCbzwokRpxto9yHBc7M,1.0,3.9,136,OPERATIONAL,,"4143 White Plains Rd, Bronx, NY 10466",40.8919422,-73.8583944
Bedford Park,DJ & C Reyna restaurant,ChIJG7ZVsHL0wokRJTkvRGsymnw,2.0,4.3,109,OPERATIONAL,,"1969 Dr M.L.K. Jr Blvd, Bronx, NY 10453",40.8544586,-73.9121115
Bedford Park,Montero068 Restaurant,ChIJuzP48gn1wokRbaeEmI_480g,,0.0,0,OPERATIONAL,,"182 W Burnside Ave, Bronx, NY 10453",40.8544191,-73.91616499999999
Bedford Park,Que Sabrosura! Restaurant & Bar,ChIJF_OfDEL1wokROB8bU6JgcF0,2.0,3.8,84,OPERATIONAL,,"48 E 183rd St, Bronx, NY 10453",40.8582293,-73.9027071
Bedford Park,LNE Bar & Restaurant,ChIJCT9SKG7zwokRt_-xnno2CPQ,1.0,3.7,508,OPERATIONAL,,"390 E 204th St #1, Bronx, NY 10467",40.8711352,-73.8772319
Bedford Park,Estrella Restaurant,ChIJGVXpNmX0wokRehMDwabg30Q,2.0,3.6,42,OPERATIONAL,,"2051 Webster Ave, Bronx, NY 10457",40.8514009,-73.898917
Bedford Park,Best Choice,ChIJ79W3QCXzwokRImJVtImJU_U,2.0,4.2,174,OPERATIONAL,,"3973 Bronxwood Ave, Bronx, NY 10466",40.8858081,-73.85503469999999
Bedford Park,Diamante Poblano,ChIJ3SWAHojzwokRtcCsQfNM_Ns,2.0,3.6,378,OPERATIONAL,,"2431 Jerome Ave, Bronx, NY 10468",40.8621607,-73.9018883
Bedford Park,Fiesta Lounge and Restaurant,ChIJsxetRX70wokRcmWCG7z-2c0,2.0,4.2,198,OPERATIONAL,,"4640 Third Ave, Bronx, NY 10458",40.8571594,-73.89090879999999
Bedford Park,Brown Sugar Bar & Restaurant,ChIJT40YdfPzwokRohbdynCkc5g,2.0,4.2,899,OPERATIONAL,,"5060 Broadway, New York, NY 10034",40.8698831,-73.91556899999999
Bedford Park,MUZI Asian Restaurant,ChIJ_6y4hm_zwokRLsPWn3qtrUg,1.0,4.0,24,OPERATIONAL,,"2831 Grand Concourse, Bronx, NY 10468",40.8702963,-73.89141579999999
Bedford Park,Lina Restaurant,ChIJ50OCI_v1wokRTj1fTZzahXE,,4.4,58,OPERATIONAL,,"500 W 207th St, New York, NY 10034",40.864406,-73.9193117
Bedford Park,Brasier restaurant & lounge,ChIJRf1YGQn0wokRAnUAYV7g4qM,2.0,3.8,415,OPERATIONAL,,"472 W 202nd St, New York, NY 10034",40.861003,-73.920904
Bedford Park,La Moneda,ChIJ6TMe1hT0wokRAQ7jiQryBuA,2.0,3.7,101,OPERATIONAL,,"1690 Jerome Ave, Bronx, NY 10453",40.8464264,-73.91302879999999
Bedford Park,Caribe Bites Bar & Restaurant,ChIJC92i8ZbzwokRTYrRfNgcinE,,4.5,20,OPERATIONAL,,"5586 Broadway, Bronx, NY 10463",40.8790986,-73.9044673
Bedford Park,Aroma Restaurant & Sushi Bar,ChIJiTcRSufzwokRPeIkGKyEyQM,2.0,4.5,159,OPERATIONAL,,"5523 Broadway, Bronx, NY 10463",40.8775612,-73.90619310000001
Bedford Park,Boca Restaurant and Lounge,ChIJg5bf80H1wokRMwgQ2R824U8,3.0,4.0,916,OPERATIONAL,,"2458 Webster Ave, Bronx, NY 10458",40.8599113,-73.8928818
Bedford Park,Xing Sheng - Jackie Chan's Chinese Restaurant,ChIJ3SYAcRb0wokRmQW79UwZb-0,1.0,3.6,102,OPERATIONAL,,"115 Featherbed Ln, Bronx, NY 10452",40.8462695,-73.91891439999999
Bedford Park,Number 8,ChIJJUkIiXX0wokRJ0o02gNJ5jc,1.0,3.8,117,OPERATIONAL,,"176 W Fordham Rd, Bronx, NY 10468",40.86261349999999,-73.9086547
Bedford Park,Rose Flower,ChIJF92mknnzwokRnc-oNTkFOTw,1.0,4.2,124,OPERATIONAL,,"383 Bedford Park Blvd, Bronx, NY 10458",40.8679275,-73.883951
Bedford Park,Mama Restaurant,ChIJyyElC230wokROhWhojCFJTk,,0.0,0,OPERATIONAL,,"Bronx, NY 10453",40.8518275,-73.90970209999999
Bedford Park,AA,ChIJCZfV1W_0wokRSudDquOyZQk,1.0,3.2,191,OPERATIONAL,,"214 E Burnside Ave, Bronx, NY 10457",40.8518239,-73.9031147
Bedford Park,Pioneer Restaurant,ChIJbx8AyJrzwokRbuweNQzDTbI,,3.7,25,OPERATIONAL,,"223 W 231st St, Bronx, NY 10463",40.87941989999999,-73.9055058
Bedford Park,Yopcity restaurant,ChIJyfhM1If1wokRu402B8Yc0UM,2.0,4.7,145,OPERATIONAL,,"2324 Arthur Ave, Bronx, NY 10458",40.8538499,-73.888795
Bedford Park,Los Balbuena Restaurant Jugadita De Billar,ChIJ57H4VHj0wokRwxLZJtw8QRY,,3.9,42,OPERATIONAL,,"235 E 184th St, Bronx, NY 10458",40.8591122,-73.8979782
Bedford Park,AGAVE,ChIJpdubTBb1wokRf9HKHMGHdh0,,4.2,49,OPERATIONAL,,"1973 Southern Blvd, Bronx, NY 10460",40.8434659,-73.8857803
Bedford Park,MG54 RESTAURANT & LOUNGE,ChIJwYkqUt71wokRnjwjAPbOL88,,4.3,91,OPERATIONAL,,"1548 University Ave, Bronx, NY 10452",40.8458718,-73.9214095
Bedford Park,Chinelos Mexican Restaurant,ChIJK5XVy4b0wokR0QR-HXX3fLo,,4.1,76,OPERATIONAL,,"695 E 187th St, Bronx, NY 10458",40.8543627,-73.8847188
Bedford Park,Casa del Mar Seafood Restaurant,ChIJ4ZRMX2j0wokRH0R2KBd-Kbo,2.0,4.1,969,OPERATIONAL,,"1779 Webster Ave, Bronx, NY 10457",40.8452671,-73.902795
Bedford Park,Morena Restaurant,ChIJKyMDb3H0wokRvPi9rBQ8DG0,,5.0,2,OPERATIONAL,,"Bronx, NY 10453",40.8559388,-73.9056815
Bedford Park,ZOHO RESTAURANT,ChIJxZRlfgvzwokREiAT0dt29IQ,3.0,4.8,97,OPERATIONAL,,"524 W 207th St, New York, NY 10034",40.8651037,-73.9198819
Bedford Park,Golden Eagle Restaurant,ChIJQ0TT-6T0wokR4pDLOBaH094,1.0,4.1,400,OPERATIONAL,,"975 Morris Park Ave, Bronx, NY 10462",40.848044,-73.857011
Bedford Park,Peppa's Jerk Chicken Restaurant,ChIJrZCWh_zzwokRr9tSkArUMT0,2.0,4.1,14,OPERATIONAL,,"3634 White Plains Rd, Bronx, NY 10467",40.880016,-73.8645726
Bedford Park,El Azteca Restaurant,ChIJkYV23hX1wokReHTu9z14xz4,,5.0,2,OPERATIONAL,,"2274 Jerome Ave, Bronx, NY 10453",40.85845399999999,-73.9036107
Bedford Park,Kennedy Restaurant,ChIJG4Qfu5XzwokRXvAldsQifFU,,5.0,2,OPERATIONAL,,"302 W 231st St, Bronx, NY 10463",40.8808056,-73.9086336
Bedford Park,Azal Restaurant & Hall,ChIJxb2ZTw_1wokRDT5oBPHa_wc,,3.9,133,OPERATIONAL,,"711 Morris Park Ave, Bronx, NY 10462",40.8454864,-73.8657471
Bedford Park,El Caridad Burnside Restaurant,ChIJs00yO771wokRp5fGjT8d15A,2.0,3.8,151,OPERATIONAL,,"90 E Burnside Ave, Bronx, NY 10453",40.8531769,-73.9059911
Bedford Park,Los Amigos Restaurant,ChIJM8Rng2L0wokRjDcrFJVKRxo,1.0,4.5,209,OPERATIONAL,,"674 E 180th St, Bronx, NY 10457",40.8482132,-73.8892747
Bedford Park,Cafe Colonial Restaurant,ChIJ_eSjOp_0wokRlY2ZkWUHo8c,2.0,4.0,1705,OPERATIONAL,,"2072 White Plains Rd, Bronx, NY 10462",40.8526076,-73.8673579
Bedford Park,J Flava's Jamaican & American Restaurant,ChIJzzFvgp_0wokRilK4XhvTkck,2.0,3.3,4,OPERATIONAL,,"Bronx, NY 10462",40.8544331,-73.8659265
Bedford Park,Cooler Runnings Jamaican Restaurant,ChIJWyjHsdbywokRglUYomR1hZA,1.0,3.8,1113,OPERATIONAL,,"1802 Nereid Ave, Bronx, NY 10466",40.8980556,-73.8502778
Bedford Park,Leche y Miel Restaurant,ChIJj7bELc4PZkARoBhXXd6A0Tc,1.0,4.6,516,OPERATIONAL,,"5761 Broadway, Bronx, NY 10463",40.88371730000001,-73.9017418
Bedford Park,Nuevo Three Way Restaurant,ChIJNSmAQX_0wokRtgU74LogeJ8,1.0,4.0,776,OPERATIONAL,,"384 E 188th St, Bronx, NY 10458",40.8598975,-73.89356649999999
Bedford Park,Los Primos Restaurant,ChIJ-49lumfzwokR_1uf9Ui5Ejs,1.0,3.7,205,OPERATIONAL,,"698 Allerton Ave, Bronx, NY 10467",40.8652553,-73.867592
Bedford Park,El Valle Restaurant,ChIJBw5PZAvzwokRSstFTYAfgVE,1.0,3.4,357,OPERATIONAL,,"3535 Jerome Ave, Bronx, NY 10467",40.8826182,-73.8816233
Belmont,Roys Restaurant Bar,ChIJp5qaq4v0wokRJ1a9RJ6cBWQ,1.0,4.0,885,OPERATIONAL,,"880 E Tremont Ave, Bronx, NY 10460",40.8427224,-73.8859136
Belmont,Sazón y Sabores Restaurant,ChIJURlJDkb1wokReCC-KAmrbb0,2.0,4.5,37,OPERATIONAL,,"485 E 180th St, Bronx, NY 10457",40.8515057,-73.8952111
Belmont,Pine Restaurant,ChIJIcUqAKP0wokRJzfqJIeeYkA,2.0,4.5,4247,OPERATIONAL,,"1913 Bronxdale Ave, Bronx, NY 10462",40.8487296,-73.8622597
Belmont,Montezuma Restaurant,ChIJCw8XbY_zwokRdoPMNOoJM4Y,2.0,4.3,1146,OPERATIONAL,,"119 W Kingsbridge Rd, Bronx, NY 10468",40.8687066,-73.9019563
Belmont,Steven Restaurant,ChIJnWOcNGDzwokRJlcT_yukyhM,2.0,4.0,185,OPERATIONAL,,"2233 Boston Rd, Bronx, NY 10467",40.858492,-73.8681398
Belmont,Mary's Palace | Restaurant & Bar,ChIJZcVEhj70wokRgerF2eWWqmQ,,3.9,19,OPERATIONAL,,"1460 Macombs Rd, Bronx, NY 10452",40.8417473,-73.9176232
Belmont,Delicias Dominican Restaurant,ChIJx3BgY9v1wokRQGmpS4VYrU8,2.0,4.3,73,OPERATIONAL,,"2419 Grand Concourse, Bronx, NY 10468",40.8607652,-73.8984887
Belmont,El Texano Restaurant,ChIJF0czAcf0wokRfTFGvyPyx4s,2.0,4.0,242,OPERATIONAL,,"2031 Westchester Ave, Bronx, NY 10462",40.8338579,-73.8566451
Belmont,Danny's Athens Restaurant,ChIJk8zenu_0wokR2Jje_vdVDTM,,3.5,28,OPERATIONAL,,"1621 Westchester Ave, Bronx, NY 10472",40.8296964,-73.8745248
Belmont,J Flava Caribbean Restaurant,ChIJTfRvjYP1wokRO4Usuo2xqC8,2.0,2.7,9,OPERATIONAL,,"746 Lydig Ave, Bronx, NY 10462",40.8542759,-73.8660268
Belmont,Fuego Típico Restaurant,ChIJTcd9Lh_zwokRNvl29a-in68,,3.9,72,OPERATIONAL,,"2467 Grand Concourse, Bronx, NY 10468",40.861715,-73.8979114
Belmont,Las Mella's Restaurant,ChIJzcKCPPr0wokRqyLybZ3xHC4,1.0,3.7,95,OPERATIONAL,,"1452 Westchester Ave, Bronx, NY 10472",40.8280506,-73.8821072
Belmont,Ulua Sisters Restaurant,ChIJf21BivH0wokRSh3krV_R-Tc,1.0,4.4,128,OPERATIONAL,,"1544 E 174th St, Bronx, NY 10472",40.8341781,-73.8789634
