neighborhood,name,place_id,price_level,rating,user_ratings_total,business_status,adr_address,formatted_address,lat,lng
Alphabet City,Max Restaurant,ChIJdU4dUB5awokR1TsplO8Nz_4,2.0,4.3,268,OPERATIONAL,,"134 W Broadway, New York, NY 10013",40.7168895,-74.0083551
Alphabet City,Henry's End,ChIJLdYpATdawokRiMEMn3lHExk,3.0,4.5,506,OPERATIONAL,,"72 Henry St, Brooklyn, NY 11201",40.6986941,-73.9925805
Alphabet City,Upland,ChIJWVD7FadZwokRs_pS6XY7VOU,3.0,4.5,2024,OPERATIONAL,,"345 Park Ave S, New York, NY 10010",40.7419313,-73.984644
Alphabet City,Il Falco Restaurant,ChIJD1zSWShZwokRfpsO6ECaInU,2.0,4.3,355,OPERATIONAL,,"21-50 44th Dr, Long Island City, NY 11101",40.7475991,-73.9455358
Alphabet City,Haab,ChIJWfrz-ldZwokR2ZtYZEQQiXI,1.0,4.5,309,OPERATIONAL,,"202 Leonard St, Brooklyn, NY 11206",40.7109701,-73.94706049999999
Alphabet City,Dos Caminos,ChIJGy8Umr9ZwokRVas9YjRxMfo,2.0,4.0,2308,OPERATIONAL,,"675 Hudson St, New York, NY 10014",40.7404331,-74.0054753
Alphabet City,El Toro mexican grill,ChIJyYO7tBZawokR3caVYcwcX5w,2.0,4.4,301,OPERATIONAL,,"69 New St, New York, NY 10004",40.7056646,-74.0123895
Alphabet City,Jose Luis Mediterranean Cuisine,ChIJD3o0w4JZwokR-WlDg3eOg0I,2.0,4.8,566,OPERATIONAL,,"186 Avenue B, New York, NY 10009",40.7278642,-73.97941030000001
Alphabet City,Montesacro Brooklyn,ChIJrdx6FMJZwokRr-OZZo1pELc,2.0,4.6,667,OPERATIONAL,,"432 Union Ave, Brooklyn, NY 11211",40.7133812,-73.9513446
Alphabet City,Bocca Cucina and Bar,ChIJxU04KKJZwokRll1-56xgtuc,2.0,4.6,505,OPERATIONAL,,"39 E 19th St, New York, NY 10003",40.7382123,-73.98890829999999
Alphabet City,Le Zie,ChIJw5ZDfLtZwokRIq-gubtn53c,2.0,4.4,464,OPERATIONAL,,"172 7th Ave between 20th, W 21st St, New York, NY 10011",40.7424925,-73.9970491
Alphabet City,NOMO Kitchen,ChIJDVWAj4lZwokRiQQKeBiTHcI,3.0,3.9,1077,OPERATIONAL,,"9 Crosby St, New York, NY 10013",40.7197214,-73.9999421
Alphabet City,DK Restaurant NYC,ChIJ7cFMaqxZwokRiwwuIFN8pbA,3.0,4.3,518,OPERATIONAL,,"207 W 36th St., New York, NY 10001",40.7526884,-73.9905028
Alphabet City,Il Passatore,ChIJS9UwqVZZwokRDB3abDG7MK4,2.0,4.5,299,OPERATIONAL,,"14 Bushwick Ave, Brooklyn, NY 11211",40.7143405,-73.9421244
Alphabet City,Giardino D'Oro,ChIJA7FDxRdawokR60802QyPTbM,3.0,4.5,249,OPERATIONAL,,"5 Gold St, New York, NY 10038",40.7075397,-74.0071775
Alphabet City,Da Francesco,ChIJCTIfs1FZwokRbASRQdYFYds,2.0,4.5,430,OPERATIONAL,,"442 Graham Ave, Brooklyn, NY 11211",40.7183089,-73.944858
Alphabet City,IL Cortile,ChIJOQ8A1IlZwokRd4ZMRvOMQ3o,2.0,4.3,2007,OPERATIONAL,,"125 Mulberry St #4603, New York, NY 10013",40.7179405,-73.9981924
Alphabet City,Aurora Brooklyn,ChIJkyeocGFZwokRnutbkIk-vCo,2.0,4.4,1280,OPERATIONAL,,"70 Grand St, Brooklyn, NY 11249",40.7156519,-73.9647449
Alphabet City,noodlelove,ChIJiXD_SgdZwokRNoX6B7g1ZqA,2.0,4.4,380,OPERATIONAL,,"192 Mott St, New York, NY 10012",40.7209866,-73.9956102
Alphabet City,Local Bazár,ChIJ60c5xqVZwokRv6aAYl8hT6s,2.0,4.3,839,OPERATIONAL,,"31 W 26th St, New York, NY 10010",40.7444336,-73.9900996
Alphabet City,Taverna Di Bacco,ChIJlQFG6INZwokRRiBMK6vm7xw,2.0,4.7,381,OPERATIONAL,,"175 Ludlow St, New York, NY 10002",40.7218822,-73.9875995
Alphabet City,Cafe Himalaya,ChIJk-Ctm4NZwokRpuORmfL1xKk,1.0,4.7,735,OPERATIONAL,,"78 E 1st St, New York, NY 10009",40.7231767,-73.9879641
Alphabet City,Lindens,ChIJh-oPySxZwokRBTfrxwTdRo4,2.0,4.8,346,OPERATIONAL,,"2 Renwick St, New York, NY 10013",40.7245348,-74.0084684
Alphabet City,Nish Nush,ChIJd4zbIRhawokRADDaMwkBe0E,1.0,4.5,989,OPERATIONAL,,"41 John St, New York, NY 10038",40.7093643,-74.0079567
Alphabet City,Williamsburg Thai Cuisine,ChIJXzK_B15ZwokR1O_aJeGir2w,2.0,4.4,427,OPERATIONAL,,"212 Bedford Ave, Brooklyn, NY 11249",40.71696290000001,-73.9588401
Alphabet City,Serafina Italian Restaurant Tribeca,ChIJ-0VhGB9awokRksxfZJBvigE,2.0,4.3,1063,OPERATIONAL,,"95 W Broadway, New York, NY 10007",40.7156249,-74.0089397
Alphabet City,Pio Pio 7,ChIJnXFVDgZZwokRWyjYGSq5K38,2.0,4.4,1134,OPERATIONAL,,"210 E 34th St, New York, NY 10016",40.7453563,-73.97763669999999
Alphabet City,Skinny's Cantina,ChIJm8F21CNZwokRy0e82y_rLAk,2.0,4.0,893,OPERATIONAL,,"4705 Center Blvd, Queens, NY 11109",40.7456226,-73.95686119999999
Battery Park City,Cowgirl SeaHorse,ChIJ24YpVTtawokRsFPSkHjTWoA,2.0,4.3,1254,OPERATIONAL,,"259 Front St, New York, NY 10038",40.7082332,-74.0005406
Battery Park City,Onieal's,ChIJEUf6rIlZwokRHhWVMHCKqCY,2.0,4.3,769,OPERATIONAL,,"174 Grand St, New York, NY 10013",40.7196848,-73.9978515
Battery Park City,Yuca,ChIJfS6RWp1ZwokRHRCIiP-IApE,2.0,4.2,1841,OPERATIONAL,,"111 Avenue A, New York, NY 10009",40.7262033,-73.983606
Battery Park City,O'Hara's Restaurant and Pub,ChIJueUCrBBawokRiw9LMJFm0_o,2.0,4.6,4694,OPERATIONAL,,"120 Cedar St, New York, NY 10006",40.7095008,-74.0126642
Battery Park City,South House,ChIJcXdpNrJQwokRWyvhGU7S9c0,2.0,4.2,1684,OPERATIONAL,,"149 Newark Ave, Jersey City, NJ 07302",40.720503,-74.0442017
Battery Park City,DIG,ChIJT2cXMBZawokRBLbx2AApRas,1.0,4.3,550,OPERATIONAL,,"80 Pine St, New York, NY 10005",40.7060908,-74.00729319999999
Battery Park City,Bistro La Source,ChIJk0bzXa9QwokRYKGGCXxU7PY,2.0,4.3,585,OPERATIONAL,,"85 Morris St, Jersey City, NJ 07302",40.7137047,-74.0376379
Battery Park City,Schilling Restaurant & Bar,ChIJZXs66hBawokRizEXnDJplPw,3.0,4.4,505,OPERATIONAL,,"109 Washington St, New York, NY 10006",40.7085845,-74.01401659999999
Battery Park City,The Soul Spot,ChIJua292E1awokRtj7K3ujLMLc,2.0,4.2,1092,OPERATIONAL,,"302 Atlantic Ave, Brooklyn, NY 11201",40.6883271,-73.9888261
Battery Park City,Trinity Place,ChIJ4_AAQhdawokRzbYlVLyzKlk,2.0,4.4,1325,OPERATIONAL,,"115 Broadway, New York, NY 10006",40.708882,-74.01143259999999
Battery Park City,Kitchen at Cobble Hill,ChIJ4bYvf1BawokRn1L4oKgS2mk,2.0,4.3,332,OPERATIONAL,,"254 Court St, Brooklyn, NY 11231",40.6853439,-73.9946288
Battery Park City,Clark's Restaurant,ChIJ4wBp3jdawokRZf_Uh0IhaXY,2.0,4.4,1410,OPERATIONAL,,"80 Clark St, Brooklyn, NY 11201",40.6974356,-73.9932451
Battery Park City,Xi'an Famous Foods 西安名吃,ChIJr_kSP5hbwokRCD6pIF3py5c,1.0,4.4,728,OPERATIONAL,,"8 Liberty Pl, New York, NY 10038",40.7092,-74.0092878
Battery Park City,Tutt Heights,ChIJAQAsDTdawokRbXcJnQ55gBM,1.0,4.5,401,OPERATIONAL,,"47 Hicks St, Brooklyn, NY 11201",40.700213,-73.993316
Battery Park City,SAINT RESTAURANT BAR & SPEAKEASY,ChIJ6atD-WRZwokRULgcZ4TWin8,3.0,4.5,655,OPERATIONAL,,"136 2nd Ave, New York, NY 10003",40.7286979,-73.9872499
Battery Park City,Gotham Restaurant,ChIJZ72FzplZwokRmcA7CQzDMj0,4.0,4.5,1347,OPERATIONAL,,"12 E 12th St, New York, NY 10003",40.7341848,-73.99369519999999
Battery Park City,Gramercy Kitchen,ChIJDxR7d59ZwokRkTMW7oCrVl4,2.0,4.3,674,OPERATIONAL,,"184 3rd Ave, New York, NY 10003",40.7351654,-73.98605049999999
Battery Park City,OLIO E PIÙ,ChIJ_RUJvZZZwokRNUEv3K4nSik,2.0,4.6,6061,OPERATIONAL,,"3 Greenwich Ave, New York, NY 10014",40.7338794,-73.99994079999999
Battery Park City,La Bella Vita restaurant,ChIJWd83UYhZwokRDMwXOWImOlg,2.0,4.6,2184,OPERATIONAL,,"163 Mulberry St, New York, NY 10013",40.719798,-73.997406
Battery Park City,Lhasa,ChIJ44SZj09ZwokRqIeN6EEd_VQ,1.0,4.6,245,OPERATIONAL,,"177 1st Ave., New York, NY 10003",40.72938509999999,-73.9843357
Battery Park City,Henry's End,ChIJLdYpATdawokRiMEMn3lHExk,3.0,4.5,506,OPERATIONAL,,"72 Henry St, Brooklyn, NY 11201",40.6986941,-73.9925805
Battery Park City,218 Restaurant,ChIJY6y3bohZwokR0wAvTPRvLAM,1.0,4.2,167,OPERATIONAL,,"218 Grand St, New York, NY 10013",40.7189781,-73.9957424
Battery Park City,Grand Canyon Restaurant,ChIJ9xQS6wJbwokRjKiBiw09eWA,2.0,4.3,386,OPERATIONAL,,"143 Montague St, Brooklyn, NY 11201",40.6947413,-73.9936197
Battery Park City,Joseph's Restaurant,ChIJST0cgRZawokRNvJv5mhG57E,3.0,4.5,292,OPERATIONAL,,"3 Hanover Square, New York, NY 10004",40.7048499,-74.0095927
Battery Park City,DIG,ChIJE8C9yspZwokRll_tX45HV8M,1.0,4.0,291,OPERATIONAL,,"691 Broadway, New York, NY 10012",40.7281819,-73.99463949999999
Battery Park City,L' Angeletto,ChIJQU144WZZwokRks949ol40_Q,2.0,4.6,165,OPERATIONAL,,"327 2nd Ave, New York, NY 10003",40.73541790000001,-73.9829477
Battery Park City,Max Restaurant,ChIJdU4dUB5awokR1TsplO8Nz_4,2.0,4.3,268,OPERATIONAL,,"134 W Broadway, New York, NY 10013",40.7168895,-74.0083551
Battery Park City,Chez Moi,ChIJAQsbm0VawokRcg7_fS48m1g,2.0,4.5,612,OPERATIONAL,,"135 Atlantic Ave, Brooklyn, NY 11201",40.6907574,-73.99563719999999
Battery Park City,Family Meal at Blue Hill,ChIJi9BURJFZwokRDcqvIgxdXds,4.0,4.6,1146,OPERATIONAL,,"75 Washington Pl, New York, NY 10011",40.7320354,-73.9996781
Battery Park City,Fat Fowl,ChIJzbXRDpFbwokRpcfjIz0OtJg,2.0,4.4,269,OPERATIONAL,,"445 Albee Square W, Brooklyn, NY 11201",40.6910061,-73.98295519999999
Battery Park City,Junior's Restaurant & Bakery,ChIJKSnzQJVewokRme40boVi4uk,2.0,4.4,11521,OPERATIONAL,,"386 Flatbush Ave Ext, Brooklyn, NY 11201",40.6901493,-73.9818736
Battery Park City,Heights Falafel,ChIJxTLeuTdawokRtU1jFLvi9hg,1.0,4.6,599,OPERATIONAL,,"78 Henry St, Brooklyn, NY 11201",40.6985447,-73.9926583
Battery Park City,El Toro mexican grill,ChIJyYO7tBZawokR3caVYcwcX5w,2.0,4.4,301,OPERATIONAL,,"69 New St, New York, NY 10004",40.7056646,-74.0123895
Battery Park City,Park Plaza,ChIJb7MiMjZawokRwrNLDOXf_OY,2.0,4.3,1366,OPERATIONAL,,"220 Cadman Plz W, Brooklyn, NY 11201",40.6979881,-73.9917184
Battery Park City,Morton's The Steakhouse,ChIJt7rGmBBawokR6QNt2e9e1kY,4.0,4.4,731,OPERATIONAL,,"136 Washington St, New York, NY 10006",40.7097005,-74.0139538
Battery Park City,Colonie,ChIJY8i4kEVawokR4uFtFh8npMQ,3.0,4.6,884,OPERATIONAL,,"127 Atlantic Ave, Brooklyn, NY 11201",40.6908186,-73.9958568
Battery Park City,Black Walnut,ChIJTffiLUxawokRCi9D3d0szG8,3.0,3.8,51,OPERATIONAL,,"140 Schermerhorn St, Brooklyn, NY 11201",40.6896064,-73.98798699999999
Battery Park City,Bocca Cucina and Bar,ChIJxU04KKJZwokRll1-56xgtuc,2.0,4.6,505,OPERATIONAL,,"39 E 19th St, New York, NY 10003",40.7382123,-73.98890829999999
Battery Park City,Sauce Restaurant,ChIJyz4qsYZZwokRr3PKHw0CzaE,2.0,4.3,1075,OPERATIONAL,,"78 Rivington St, New York, NY 10002",40.7204716,-73.9893263
Battery Park City,NOMO Kitchen,ChIJDVWAj4lZwokRiQQKeBiTHcI,3.0,3.9,1077,OPERATIONAL,,"9 Crosby St, New York, NY 10013",40.7197214,-73.9999421
Battery Park City,Porto Leggero,ChIJd2od6q5QwokRcWX43MPwpAc,3.0,4.4,710,OPERATIONAL,,"185 Hudson St, Jersey City, NJ 07311",40.71835979999999,-74.0345032
Battery Park City,Giardino D'Oro,ChIJA7FDxRdawokR60802QyPTbM,3.0,4.5,249,OPERATIONAL,,"5 Gold St, New York, NY 10038",40.7075397,-74.0071775
Battery Park City,IL Cortile,ChIJOQ8A1IlZwokRd4ZMRvOMQ3o,2.0,4.3,2007,OPERATIONAL,,"125 Mulberry St #4603, New York, NY 10013",40.7179405,-73.9981924
Battery Park City,noodlelove,ChIJiXD_SgdZwokRNoX6B7g1ZqA,2.0,4.4,380,OPERATIONAL,,"192 Mott St, New York, NY 10012",40.7209866,-73.9956102
Battery Park City,Taverna Di Bacco,ChIJlQFG6INZwokRRiBMK6vm7xw,2.0,4.7,381,OPERATIONAL,,"175 Ludlow St, New York, NY 10002",40.7218822,-73.9875995
Battery Park City,Cafe Himalaya,ChIJk-Ctm4NZwokRpuORmfL1xKk,1.0,4.7,735,OPERATIONAL,,"78 E 1st St, New York, NY 10009",40.7231767,-73.9879641
Battery Park City,Little Poland,ChIJsRO_fJ5ZwokRqqVpqIrIKQY,1.0,4.5,908,OPERATIONAL,,"200 2nd Ave, New York, NY 10003",40.7311679,-73.9855602
Battery Park City,Lindens,ChIJh-oPySxZwokRBTfrxwTdRo4,2.0,4.8,346,OPERATIONAL,,"2 Renwick St, New York, NY 10013",40.7245348,-74.0084684
Battery Park City,Nish Nush,ChIJd4zbIRhawokRADDaMwkBe0E,1.0,4.5,989,OPERATIONAL,,"41 John St, New York, NY 10038",40.7093643,-74.0079567
