Yr,WktGeom,street,fromSt,toSt,mean,median
2018,POINT (990825.8384006561 218340.4811348162),CENTER DRIVE,63 Street Line,Dead end,1.236653824986241,1.0
2018,POINT (990880.1043294795 224873.44168913315),WEST 81 STREET,Columbus Avenue,Amsterdam Avenue,50.07440476190476,55.0
2018,POINT (990960.4141397771 218162.57131115303),CENTRAL PARK SOUTH,Astoria Line,63 Street Line,115.48363095238095,129.0
2018,POINT (991041.3018960769 211175.3508467695),EAST 36 STREET,Queens Midtown Tunnel Exit,2 Avenue,185.36830357142858,192.0
2018,POINT (991082.9400420488 222388.19403464312),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,93.38169642857143,108.5
2018,POINT (991101.5285031095 222594.51987564017),WEST 74 STREET,Columbus Avenue,8 Avenue Line,20.366071428571427,21.0
2018,POINT (991111.236728302 224291.4913524387),COLUMBUS AVENUE,West 79 Street,West 80 Street,249.80059523809524,289.5
2018,POINT (991175.824502563 211392.2851621603),EAST 37 STREET,Queens Midtown Tunnel Exit,2 Avenue,27.027157738095237,24.0
2018,POINT (991268.2816897033 222722.19010161137),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,127.36904761904762,139.5
2018,POINT (991292.015832654 223095.21872016348),WEST 76 STREET,Columbus Avenue,8 Avenue Line,23.001488095238095,24.0
2018,POINT (991314.3143321015 210898.0112346453),QUEENS MIDTOWN TUNNEL APPROACH,East 35 Street,East 36 Street,101.33779761904762,113.0
2018,POINT (991386.3638970775 211438.29011603547),2 AVENUE,East 37 Street,East 38 Street,270.2738095238095,210.0
2018,POINT (991429.0428997825 211252.91345001393),EAST 37 STREET,2 Avenue,Queens Midtown Tunnel Approach,75.91815476190476,77.0
2018,POINT (991493.5372602648 205645.63521145438),FDR DRIVE EXIT 7 NORTHBOUND,F D R Drive,Avenue C,6.833333333333333,5.0
2018,POINT (991496.8347738112 217729.63253436284),GRAND ARMY PLAZA,West 58 Street,Central Park South,35.351190476190474,37.0
2018,POINT (991623.1954081155 217954.5530650264),GRAND ARMY PLAZA,Astoria Line,C P East 60 Approach,124.10342261904762,138.0
2018,POINT (991625.5694735441 217786.69737644886),CENTRAL PARK SOUTH,5 Avenue,Grand Army Plaza,77.83296130952381,53.0
2018,POINT (991636.5400681045 211334.2307539822),QUEENS MIDTOWN TUNNEL APPROACH,East 38 Street,East 37 Street,19.815104166666668,6.0
2018,POINT (991656.4524247444 219492.19210312646),65 ST TRANSVERSE,East Drive,Center Drive,145.33506944444446,168.0
2018,POINT (991656.676508564 224431.403809575),WEST 81 STREET,79 St Transverse,Columbus Avenue,65.30431547619048,72.0
2018,POINT (991680.715490982 217644.64624233908),5 AVENUE,Dead End,Central Park South,191.08854166666666,213.0
2018,POINT (991712.3128922038 211095.4905106209),EAST 37 STREET,Queens Midtown Tunnel Approach,Queens Midtown Tunnel,81.88616071428571,75.0
2018,POINT (991915.2469754982 218062.4100554285),5 AVENUE,East 61 Street,Astoria Line,158.79471656576774,171.0
2018,POINT (991974.7632044622 224250.16821106122),WEST 81 STREET,Columbus Avenue,79 St Transverse,71.53645833333333,85.0
2018,POINT (992023.1868852566 224084.8641137456),CENTRAL PARK WEST,79 St Transverse,8 Avenue Line,110.93303571428571,120.0
2018,POINT (992025.7505434931 199184.62262815682),WILLIAMSBURG BRIDGE,East River Shoreline West,East River Shoreline,318.3675595238095,303.0
2018,POINT (992032.2459785962 199273.23681560458),WILLIAMSBURG BRIDGE,East River Shoreline West,East River Shoreline,226.23958333333334,237.0
2018,POINT (992082.5780941971 199234.2998442139),WILLIAMSBURG BRIDGE,East River Shoreline West,East River Shoreline,284.11830357142856,290.0
2018,POINT (992096.3523418304 199171.60814342252),WILLIAMSBURG BRIDGE,East River Shoreline West,East River Shoreline,310.76190476190476,323.0
2018,POINT (992117.2258299857 224495.79164655923),WEST 82 STREET,Columbus Avenue,8 Avenue Line,19.453869047619047,20.0
2018,POINT (992124.945395921 224268.8379029159),CENTRAL PARK WEST,8 Avenue Line,79 St Transverse,88.984375,100.0
2018,POINT (992157.4747539443 223889.17985802342),79 ST TRANSVERSE,Dead End,Dead end,112.2485119047619,126.0
2018,POINT (992165.1300347954 210393.60518822112),FDR DRIVE NB ENTRANCE E 34 ST,F D R Drive,F D R Drive,52.3027027027027,55.0
2018,POINT (992178.7169715042 224126.16163989974),79 ST TRANSVERSE,Dead end,Dead End,165.62425595238096,154.0
2018,POINT (992324.8747761194 219191.1541028703),65 ST TRANSVERSE,5 Avenue,Dead end,180.72767857142858,217.5
2018,POINT (992361.3601453997 217820.73732979872),MADISON AVENUE,Astoria Line,East 61 Street,213.06659328563566,232.0
2018,POINT (992385.1307599137 224738.62595741687),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,85.14434523809524,95.0
2018,POINT (992394.0368094442 224946.35355763658),WEST 84 STREET,Columbus Avenue,8 Avenue Line,7.073660714285714,4.0
2018,POINT (992397.1428619093 219378.0290462852),65 ST TRANSVERSE,5 Avenue,Dead end,155.2470238095238,170.0
2018,POINT (992504.1461559852 211996.22462260223),1 AVENUE,East 41 Street,East 42 Street,93.72619047619048,95.5
2018,POINT (992526.2409491339 211978.25687084717),1 AVENUE,Dead End,East 42 Street,18.885416666666668,16.0
2018,POINT (992554.0206426056 211961.26546346434),1 AVENUE,Dead End,East 42 Street,91.74255952380952,103.0
2018,POINT (992575.5912673135 211942.4094236663),1 AVENUE,East 41 Street,East 42 Street,88.28422619047619,82.0
2018,POINT (992576.4280895988 225083.40322802984),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,119.65327380952381,133.0
2018,POINT (992604.9563418038 225457.47156309563),WEST 86 STREET,Columbus Avenue,8 Avenue Line,28.703869047619047,26.0
2018,POINT (992781.3022381396 217590.22210737958),PARK AVENUE,Astoria Line,East 61 Street,182.36529442417927,220.0
2018,POINT (992836.1705261773 217554.25812122528),PARK AVENUE,Astoria Line,East 61 Street,157.2606882168926,184.0
2018,POINT (992854.5935806518 225333.97044918896),86 ST TRANSVERSE,Dead end,Dead End,128.7373511904762,151.0
2018,POINT (992911.4554739118 225688.05375647958),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,90.5922619047619,100.0
2018,POINT (992939.336601223 225892.86166073856),WEST 88 STREET,Columbus Avenue,8 Avenue Line,22.301339285714285,22.0
2018,POINT (993050.8054429016 212926.56866003707),1 AVENUE,East 45 Street,East 46 Street,208.60276816608996,220.0
2018,POINT (993062.7831597627 212915.05247207513),1 AVENUE,East 45 Street,East 46 Street,110.41815476190476,124.0
2018,POINT (993076.9288548745 212905.26125458107),1 AVENUE,East 45 Street,East 46 Street,153.82291666666666,170.0
2018,POINT (993127.917225202 217094.34865143988),LEXINGTON AVENUE,Astoria Line,East 59 Street,290.4471726190476,316.0
2018,POINT (993159.8754677676 226374.64596414167),WEST 90 STREET,Dead end,8 Avenue Line,17.633184523809526,16.0
2018,POINT (993159.950455983 226134.49256571848),8 AVENUE LINE,Central Park West,Central Park West,17.697916666666668,12.0
2018,POINT (993226.1024998053 217270.92920809562),LEXINGTON AVENUE,Astoria Line,East 61 Street,236.21759259259258,254.0
2018,POINT (993256.5919971104 217326.2794700091),LEXINGTON AVENUE,East 61 Street,Astoria Line,215.41219385096403,247.0
2018,POINT (993286.163139545 213347.82320134863),1 AVENUE,East 47 Street,Dead end,98.66979166666667,108.0
2018,POINT (993301.7202122172 213310.08166269938),1 AVENUE,East 47 Street,Dead end,86.57916666666667,94.5
2018,POINT (993321.9399007682 233418.30969788088),RIVERSIDE DRIVE,West 113 Street,West 114 Street,44.6650641025641,35.0
2018,POINT (993348.9230441407 233403.96347638988),RIVERSIDE DRIVE,West 113 Street,West 114 Street,45.67518939393939,36.0
2018,POINT (993355.7210261937 226487.13954686632),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,111.98660714285714,119.0
2018,POINT (993418.0574396617 226823.41291051617),WEST 92 STREET,Dead end,8 Avenue Line,25.95014880952381,26.0
2018,POINT (993648.7192111061 218034.21133710357),LEXINGTON AVENUE,East 64 Street,63 Street Line,230.45907738095238,256.0
2018,POINT (993658.3408193733 227290.95859980036),WEST 94 STREET,Dead end,8 Avenue Line,25.744791666666668,25.0
2018,POINT (993670.2988858197 227056.82140116984),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,85.17931547619048,91.0
2018,POINT (993699.4473096249 217079.667644479),3 AVENUE,Astoria Line,East 61 Street,233.9968619246862,252.0
2018,POINT (993700.8126304343 228965.72367757946),COLUMBUS AVENUE,Dead End,West 100 Street,147.95120614035088,165.0
2018,POINT (993866.0057570628 227409.5472747817),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,116.92931547619048,123.0
2018,POINT (993902.4057173438 227773.10889139763),WEST 96 STREET,Dead end,8 Avenue Line,117.34300595238095,135.5
2018,POINT (994034.4969403896 218229.7616121399),EAST 65 STREET,Lexington Avenue,3 Avenue,90.1547619047619,95.0
2018,POINT (994061.7802606856 220888.45170633137),MADISON AVENUE,East 73 Street,East 74 Street,230.94328703703704,257.0
2018,POINT (994065.9565811465 233761.3224741186),WEST 116 STREET,Broadway,Claremont Avenue,10.195684523809524,8.0
2018,POINT (994139.5436525075 221029.1248258156),MADISON AVENUE,East 74 Street,East 75 Street,217.57175925925927,232.0
2018,POINT (994179.3922893775 222460.058037169),79 ST TRANSVERSE,Dead End,Dead end,94.64285714285714,108.0
2018,POINT (994234.3994657928 228077.37143176963),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,104.45089285714286,113.0
2018,POINT (994246.0662887025 228098.87941164442),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,85.60572916666666,85.0
2018,POINT (994264.5608803813 219145.7753708444),LEXINGTON AVENUE,East 69 Street,East 68 Street,208.27083333333334,227.0
2018,POINT (994318.3021745003 216729.49911111515),2 AVENUE,East 61 Street,Astoria Line,179.37653374233128,191.0
2018,POINT (994392.6124098832 228713.50634698273),WEST 100 STREET,Dead end,8 Avenue Line,42.578125,47.0
2018,POINT (994560.1811381084 216510.54472223372),ED KOCH QUEENSBORO BRIDGE EXIT,Astoria Line,Dead end,43.81205479452055,46.0
2018,POINT (994560.6643132134 222214.41057566967),EAST 79 STREET,5 Avenue,Madison Avenue,99.94940476190476,115.0
2018,POINT (994581.5358202432 216366.4315501286),ED KOCH QUEENSBORO BRIDGE,Ed Koch Queensboro Bridge Exit,Dead end,161.01285855588526,181.0
2018,POINT (994593.0022198561 234665.73706734178),WEST 120 STREET,Broadway,Claremont Avenue,25.257440476190474,24.0
2018,POINT (994636.2260005196 228800.03831542027),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,96.76636904761905,98.0
2018,POINT (994640.9363203443 216406.69974399928),EAST 60 STREET,Astoria Line,1 Avenue,49.85163204747774,48.0
2018,POINT (994698.9744140521 229149.35694460748),WEST 102 STREET,Manhattan Avenue,8 Avenue Line,1.0982142857142858,1.0
2018,POINT (994786.0465449918 220088.29121247903),LEXINGTON AVENUE,East 73 Street,East 72 Street,208.14806547619048,225.5
2018,POINT (994897.8153812896 220288.41547376255),LEXINGTON AVENUE,East 73 Street,East 74 Street,199.16203703703704,214.0
2018,POINT (994954.1273896283 229606.73422612937),WEST 104 STREET,Lenox Avenue Line,8 Avenue Line,24.821428571428573,26.0
2018,POINT (994957.0277757178 229378.97013402547),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,78.0952380952381,83.0
2018,POINT (994966.3721738203 221988.09939942651),EAST 79 STREET,Madison Avenue,Park Avenue,99.29464285714286,115.0
2018,POINT (994976.083838377 216372.4511448707),1 AVENUE,Astoria Line,East 61 Street,147.08210180623973,164.0
2018,POINT (994999.4326287844 216414.902655303),1 AVENUE,Astoria Line,East 61 Street,338.3020833333333,371.0
2018,POINT (995126.2463940116 232852.55378496027),WEST 115 STREET,Amsterdam Avenue,Morningside Drive,9.679315476190476,9.0
2018,POINT (995156.408136993 229738.88505666723),8 AVENUE LINE,Central Park West,Central Park West,168.38020833333334,118.0
2018,POINT (995213.8484048134 230083.76419386192),WEST 106 STREET,Manhattan Avenue,8 Avenue Line,12.438988095238095,11.0
2018,POINT (995347.6468890543 221777.09084527346),EAST 79 STREET,Park Avenue,Lexington Avenue,91.359375,105.0
2018,POINT (995480.3351336516 234037.7936663971),AMSTERDAM AVENUE,West 119 Street,West 120 Street,48.713541666666664,51.0
2018,POINT (995486.4379883524 230334.75772613625),8 AVENUE LINE,Central Park West,Central Park West,68.66517857142857,71.5
2018,POINT (995497.2503759495 230550.86449751342),WEST 108 STREET,Manhattan Avenue,8 Avenue Line,25.214285714285715,24.0
2018,POINT (995544.6304203826 233563.592012279),WEST 118 STREET,Amsterdam Avenue,Morningside Drive,9.035714285714286,6.0
2018,POINT (995598.309161627 216021.8595123823),YORK AVENUE,Astoria Line,East 61 Street,129.56621480709072,139.0
2018,POINT (995674.0511365215 230673.66044206725),8 AVENUE LINE,Central Park West,Central Park West,90.12127976190476,90.0
2018,POINT (995707.2508600017 221749.748656222),LEXINGTON AVENUE,East 80 Street,East 79 Street,184.88169642857142,200.0
2018,POINT (995737.384829233 230787.24482344283),8 AVENUE LINE,Central Park West,Central Park West,62.74627976190476,63.0
2018,POINT (995814.4517053183 215896.87205204542),F D R DRIVE,Astoria Line,Dead end,809.5379464285714,936.0
2018,POINT (995879.5273118071 231996.98830748064),MANHATTAN AVENUE,Morningside Avenue,West 114 Street,50.820684523809526,53.0
2018,POINT (995885.8139915451 221478.91674564316),EAST 79 STREET,Lexington Avenue,3 Avenue,80.79761904761905,88.5
2018,POINT (995929.6772359419 215508.2034037162),ED KOCH QUEENSBORO BRIDGE,East River West Channel Shl,Dead end,57.19047619047619,0.0
2018,POINT (995963.0330513178 215550.11772571897),ED KOCH QUEENSBORO BRIDGE,East River West Channel Shl,Dead end,278.39161706349205,324.0
2018,POINT (996112.4000870528 215429.93760683667),ED KOCH QUEENSBORO BRIDGE,East River West Channel Shl,Dead end,309.125,292.0
2018,POINT (996439.0930016243 221171.6783379529),EAST 79 STREET,3 Avenue,2 Avenue,87.8578869047619,102.0
2018,POINT (996623.05837608 223402.26932173956),LEXINGTON AVENUE,East 87 Street,East 86 Street,193.80877976190476,213.0
2018,POINT (996816.3176094135 226907.10621757948),5 AVENUE,East 98 Street,Dead end,175.9710648148148,189.5
2018,POINT (997078.0692905859 220818.2409788871),EAST 79 STREET,2 Avenue,1 Avenue,76.24032738095238,71.0
2018,POINT (997138.8712092378 236602.43010069648),WEST 131 STREET,Convent Avenue,Amsterdam Avenue,10.249255952380953,8.0
2018,POINT (997194.2392441295 237464.25847931163),WEST 134 STREET,Amsterdam Avenue,Dead end,11.75,11.0
2018,POINT (997269.8756862681 233893.5095635239),ST NICHOLAS AVENUE,8 Avenue Line,8 Avenue Line,35.61284722222222,37.0
2018,POINT (997450.1262336862 227002.7064126479),MADISON AVENUE,Dead End,Dead end,186.17708333333334,205.0
2018,POINT (997566.92059156 230415.03854532642),LENOX AVENUE,West 111 Street,West 112 Street,34.042824074074076,34.5
2018,POINT (997608.8459943817 230391.09704083635),LENOX AVENUE,West 111 Street,West 112 Street,38.41840277777778,39.0
2018,POINT (997675.2223871921 226442.05493060168),PARK AVENUE,East 98 Street,East 99 Street,67.80439814814815,66.0
2018,POINT (997687.663925353 220480.82318991682),EAST 79 STREET,1 Avenue,York Avenue,57.151041666666664,26.0
2018,POINT (997751.2615673587 226398.78709580368),PARK AVENUE,East 98 Street,East 99 Street,53.28761574074074,42.0
2018,POINT (997762.8381480876 240930.6052827296),RIVERSIDE DRIVE,West 146 Street,West 147 Street,69.17459693275659,51.0
2018,POINT (997793.1023793612 240917.51606322854),RIVERSIDE DRIVE,West 146 Street,West 147 Street,82.15,56.5
2018,POINT (997828.5077050285 238642.142675619),WEST 139 STREET,Amsterdam Avenue,Hamilton Place,17.59375,16.0
2018,POINT (997841.6407836386 231667.03703350434),WEST 116 STREET,Lenox Avenue,Adam C Powell Boulevard,67.8125,73.0
2018,POINT (997908.1373065386 225716.8579211065),LEXINGTON AVENUE,East 97 Street,East 96 Street,133.0907738095238,137.0
2018,POINT (998087.5101113498 224997.39442451062),3 AVENUE,East 94 Street,East 95 Street,241.41666666666666,258.0
2018,POINT (998139.720252637 240755.01577510822),BROADWAY,West 146 Street,West 147 Street,88.54513888888889,91.0
2018,POINT (998187.6228531377 240710.47021758792),BROADWAY,West 146 Street,West 147 Street,79.57371794871794,77.0
2018,POINT (998193.8927123359 220199.9301108077),EAST 79 STREET,York Avenue,East End Avenue,42.998511904761905,11.0
2018,POINT (998213.6719788199 225225.15324594613),3 AVENUE,East 95 Street,East 96 Street,245.93154761904762,260.0
2018,POINT (998293.7047439679 226416.14165830667),LEXINGTON AVENUE,East 99 Street,East 100 Street,100.22083333333333,102.0
2018,POINT (998373.1699389798 225512.69505346907),3 AVENUE,East 96 Street,East 97 Street,176.25744047619048,186.0
2018,POINT (998456.5814121764 239563.84988378992),HAMILTON PLACE,Amsterdam Avenue,West 143 Street,22.419642857142858,23.0
2018,POINT (998598.3286253526 225916.69489443593),3 AVENUE,Dead End,East 99 Street,193.62723214285714,203.0
2018,POINT (998653.0909545366 239990.18231720687),WEST 145 STREET,Amsterdam Avenue,Broadway,51.34300595238095,51.0
2018,POINT (998686.8133056197 239356.0580135274),WEST 143 STREET,Amsterdam Avenue,Convent Avenue,13.213541666666666,12.0
2018,POINT (998692.6275297225 219915.8085719752),EAST 79 STREET,East End Avenue,F D R Drive,59.51264880952381,5.5
2018,POINT (999117.4468439372 237785.67248064876),EDGECOMBE AVENUE,West 138 Street,West 139 Street,16.041666666666668,15.0
2018,POINT (999311.5514225526 245392.74810773422),RIVERSIDE DRIVE,Dead End,West 165 Street,81.43998015873017,71.0
2018,POINT (999355.3363786899 217361.32553894378),ROOSEVELT IS BRIDGE,Qn-ny Cnty Shoreline,Dead end,41.80359612724758,44.0
2018,POINT (999358.2479393115 243310.4973654725),EDWARD M MORGAN PLACE,Riverside Drive,West 157 Street,28.398611111111112,30.0
2018,POINT (999457.5528793525 239544.48582064008),WEST 145 STREET,8 Avenue Line,Convent Avenue,81.96056547619048,86.5
2018,POINT (999458.3693756062 232701.5581255705),MT MORRIS PARK WEST,West 122 Street,West 123 Street,60.469907407407405,59.0
2018,POINT (999645.0944314707 229998.1571338881),PARK AVENUE,Dead End,Dead end,77.44940476190476,88.0
2018,POINT (999694.5737784363 239413.31367215997),WEST 145 STREET,Edgecombe Avenue,8 Avenue Line,71.9047619047619,75.0
2018,POINT (999711.2682352485 239811.25362739738),ST NICHOLAS AVENUE,8 Avenue Line,8 Avenue Line,59.61241319444444,52.0
2018,POINT (999718.0697504742 229956.55891587745),PARK AVENUE,Dead End,Dead end,35.305059523809526,32.0
2018,POINT (999898.8502847478 242317.32728337805),WEST 155 STREET,Broadway,Amsterdam Avenue,61.0,67.0
2018,POINT (999990.3264322297 242585.5626648246),WEST 156 STREET,Dead end,Amsterdam Avenue,13.951636904761905,14.0
2019,POINT (1000210.5780110484 232015.98764969796),MADISON AVENUE,East 121 Street,East 122 Street,188.77199074074073,203.0
2019,POINT (1000247.5929560836 231085.93954813373),PARK AVENUE,East 118 Street,East 119 Street,75.20023148148148,78.0
2019,POINT (1000327.3928360733 231058.21164262373),PARK AVENUE,East 118 Street,East 119 Street,27.41898148148148,24.0
2019,POINT (1000378.6979708753 231320.30564134006),PARK AVENUE,East 119 Street,East 120 Street,73.34057341442224,76.0
2019,POINT (1000463.9254630522 231307.6422788616),PARK AVENUE,East 119 Street,East 120 Street,30.017391304347825,26.0
2019,POINT (1000495.5241664379 231529.62316235443),PARK AVENUE,East 120 Street,East 121 Street,74.19444444444444,79.0
2019,POINT (1000573.3666276133 231504.88122988414),PARK AVENUE,East 120 Street,East 121 Street,39.09375,34.5
2019,POINT (1001003.6810202387 231306.33713711085),LEXINGTON AVENUE,East 120 Street,Lexington Avenue Line,136.93958333333333,148.5
2019,POINT (1001117.3022857279 245158.2497879767),AUDUBON AVENUE,West 166 Street,West 167 Street,15.762152777777779,14.0
2019,POINT (1001119.1446755957 231515.11660544857),LEXINGTON AVENUE,East 121 Street,East 122 Street,117.01967592592592,118.0
2019,POINT (1001246.4463923124 247433.1724280632),BROADWAY,West 174 Street,West 175 Street,61.7193287037037,62.0
2019,POINT (1001339.2981837261 248414.48821411072),WEST 178 STREET,Broadway,8 Avenue Line,173.70982142857142,193.5
2019,POINT (1001743.7746566475 248821.6644276428),WEST 180 STREET,Broadway,8 Avenue Line,50.40029761904762,41.0
2019,POINT (1001749.4092908798 248680.17488953116),BROADWAY,West 179 Street,West 180 Street,149.56994047619048,165.5
2019,POINT (1001777.1058795277 248518.65101293108),WEST 179 STREET,Wadsworth Avenue,Broadway,91.734375,103.0
2019,POINT (1001814.5776495094 231724.03371630033),3 AVENUE,East 123 Street,East 124 Street,161.01041666666666,172.5
2019,POINT (1001847.613575004 247384.74495404214),ST NICHOLAS AVENUE,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,52.29976851851852,54.0
2019,POINT (1001852.2435343948 246484.24497451892),AUDUBON AVENUE,West 172 Street,West 173 Street,26.186921296296298,23.0
2019,POINT (1001906.4661062629 248871.9085458998),BROADWAY,West 180 Street,West 181 Street,135.4858630952381,135.0
2019,POINT (1001933.1229254373 249059.95112606295),WEST 181 STREET,Broadway,Bennett Avenue,59.21775793650794,60.0
2019,POINT (1001994.6226516889 247648.9780077259),ST NICHOLAS AVENUE,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,56.595486111111114,59.0
2019,POINT (1002080.4073015146 249160.48184496583),BROADWAY,West 181 Street,West 182 Street,114.22172619047619,114.0
2019,POINT (1002109.6730021789 248976.3565492699),WEST 181 STREET,Wadsworth Avenue,Broadway,94.63318452380952,89.0
2019,POINT (1002174.8029140903 248781.22755430776),WADSWORTH AVENUE,West 180 Street,West 181 Street,53.22358630952381,56.0
2019,POINT (1002288.1981358589 248986.56345508518),WADSWORTH AVENUE,West 181 Street,West 182 Street,55.25,55.0
2019,POINT (1002336.4916926025 231154.2413965386),2 AVENUE,Dead End,East 123 Street,111.42881944444444,18.5
2019,POINT (1002419.8009704083 248805.75386272138),WEST 181 STREET,Broadway/ 7 Avenue Line,Wadsworth Avenue,60.887061403508774,63.0
2019,POINT (1002527.7890809475 248613.6745076953),ST NICHOLAS AVENUE,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,73.27628968253968,72.0
2019,POINT (1002564.5610851326 240983.75683398134),MACOMBS DAM BRIDGE,Harlem River Shoreline,Harlem River Shoreline,262.6424851190476,247.0
2019,POINT (1002633.219015125 248803.36280649714),ST NICHOLAS AVENUE,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,84.32390873015873,82.5
2019,POINT (1002744.4925590267 248626.30863944514),WEST 181 STREET,Audubon Avenue,Broadway/ 7 Avenue Line,122.80208333333333,131.0
2019,POINT (1002754.5374999298 235875.81836194085),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,232.6640625,253.0
2019,POINT (1002758.8176441995 235908.97875633911),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,223.63802083333334,234.5
2019,POINT (1002829.5968615835 230543.74591980033),1 AVENUE,Dead End,Dead end,229.75810185185185,240.0
2019,POINT (1002839.6095209746 237849.64238196152),145 STREET BRIDGE,Dead End,Harlem River Shoreline,162.89322916666666,174.0
2019,POINT (1002904.9978750349 248385.59768296697),AUDUBON AVENUE,West 180 Street,West 181 Street,82.50967261904762,81.0
2019,POINT (1003047.5023959114 248641.69377621196),AUDUBON AVENUE,West 181 Street,West 182 Street,30.41592261904762,19.0
2019,POINT (1003056.1703686932 250371.49311901044),WADSWORTH AVENUE,West 187 Street,West 188 Street,24.67013888888889,24.0
2019,POINT (1003154.8184162718 248398.58395464075),WEST 181 STREET,Amsterdam Avenue,Audubon Avenue,108.14508928571429,91.0
2019,POINT (1003325.106446058 248193.3746290124),AMSTERDAM AVENUE,Cbe Sb Entrance Amsterdam Ave,Washington Bridge,192.10714285714286,215.0
2019,POINT (1003418.8747469293 248362.87433451394),AMSTERDAM AVENUE,Washington Bridge,West 182 Street,125.40811011904762,128.0
2019,POINT (1003561.6863149919 248147.0727009691),WASHINGTON BRIDGE,Cross Bronx Expwy Nb Et 1 B,Cbe Sb Entrance Washington Brdg,215.11532738095238,250.0
2019,POINT (1003878.3646513562 231992.77964707965),WILLIS AVENUE BRIDGE,Harlem River Drive Exit 18 Nb,Harlem River Shoreline,1050.5,1158.5
2019,POINT (1004009.9376747445 247299.3322981837),ALEXANDER HAMILTON BRIDGE,Dead End,Harlem River Shoreline,864.6927083333334,972.5
2019,POINT (1004021.9978427979 247356.44157370654),ALEXANDER HAMILTON BRIDGE,Dead End,Harlem River Shoreline,730.9296875,723.5
2019,POINT (1004170.6634530823 247782.7882331651),WASHINGTON BRIDGE,Harlem River Shoreline,Harlem River Shoreline,424.56473214285717,439.0
2019,POINT (1004190.1233740989 247816.61094514112),WASHINGTON BRIDGE,Harlem River Shoreline,Harlem River Shoreline,430.8519345238095,397.5
2019,POINT (1007807.3102189016 253610.3799800104),UNIVERSITY HEIGHTS BRIDGE,Harlem River Shoreline,Harlem River Shoreline,209.54947916666666,214.0
2019,POINT (1008091.5884716038 256796.27746922727),BROADWAY,Dead End,West 219 Street,152.82175925925927,150.0
2019,POINT (1008133.2143167178 256775.66346184866),BROADWAY,Dead End,West 219 Street,139.8148148148148,142.0
2019,POINT (1008468.9851578481 257221.11242326567),BROADWAY,West 220 Street,Dead end,140.9502314814815,146.0
2019,POINT (1008526.4088348619 257188.01675545555),BROADWAY,West 220 Street,9 Avenue,154.5960648148148,142.5
2019,POINT (1008820.0489733003 257592.1467928457),BROADWAY BRIDGE,Broadway,Harlem River Shoreline,206.24479166666666,235.5
2019,POINT (1008845.5343071799 257557.10178422925),BROADWAY BRIDGE,Broadway,Harlem River Shoreline,176.796875,188.0
2019,POINT (1009412.7556041561 258113.3482771303),BROADWAY,Marble Hill Houses Ped Path,Marble Hill Houses Ped Path,149.24454365079364,150.0
2019,POINT (1009809.7283844741 258546.1543000103),BROADWAY,West 228 Street,Dead end,83.20535714285714,65.0
2019,POINT (980278.6317645613 195767.60843632874),STATE STREET,Bridge Street,Battery Place,60.5318287037037,58.0
2019,POINT (980546.8030714166 196274.21899151764),BROADWAY,Beaver Street,Lexington Avenue Line,25.605324074074073,26.0
2019,POINT (980683.4919998153 200793.89041273453),WEST STREET,Tribeca Bridge,Dead end,326.74074074074076,377.0
2019,POINT (980777.624927884 200863.62012947293),WEST STREET,Tribeca Bridge,Dead end,360.0625,413.0
2019,POINT (980891.5536578557 201967.23499629644),WEST STREET,Dead End,Dead end,329.62083333333334,378.0
2019,POINT (980960.365454567 201954.95473731676),WEST STREET,Dead End,Hubert Street,328.48668981481484,370.5
2019,POINT (980963.7012694088 201977.00900208013),WEST STREET,Dead End,Hubert Street,388.06666666666666,421.0
2019,POINT (981211.8646257705 204259.8130412855),WEST STREET,Dead End,Dead end,377.14756944444446,413.5
2019,POINT (981276.7451833747 204279.70102019885),WEST STREET,Spring Street,Dead end,342.912037037037,362.0
2019,POINT (981431.5911024368 197578.88455484473),LIBERTY STREET,Liberty Place,Broadway,43.135416666666664,44.0
2019,POINT (981453.6750848244 208262.301890785),WEST STREET,Dead End,Bike Path,307.666087962963,335.0
2019,POINT (981465.2472871661 208108.87204597594),WEST STREET,Bike Path,Dead end,320.41435185185185,369.0
2019,POINT (981513.1607160587 208260.7962860757),WEST STREET,Dead End,Bike Path,396.7986111111111,424.0
2019,POINT (981524.0170181604 208112.25632051882),WEST STREET,West 12 Street,Dead end,373.9490740740741,411.0
