Yr,WktGeom,street,fromSt,toSt,mean,median
2018,POINT (981039.0660004561 197184.50046381084),BROADWAY,Lexington Avenue Line,Lexington Avenue Line,104.12202380952381,112.0
2018,POINT (981173.6367936495 197298.86290856844),PINE STREET,Nassau Street,Broadway,14.625,14.0
2018,POINT (981279.6092570324 197478.4994919838),CEDAR STREET,Nassau Street,Broadway,6.127976190476191,5.0
2018,POINT (981509.1248924847 198829.1014319391),CHURCH STREET,8 Avenue Line,8 Avenue Line,148.13988095238096,167.0
2018,POINT (981532.8205326549 197849.35405082325),MAIDEN LANE,Liberty Place,Broadway,54.24404761904762,58.0
2018,POINT (981554.5612723065 205683.76647176858),MORTON STREET,Path-journal Sq- 33 St Line,Path-journal Sq- 33 St Line,14.882440476190476,14.0
2018,POINT (981655.7360103265 198147.84867548826),BROADWAY,8 Avenue Line,Dey Street,165.54315476190476,181.0
2018,POINT (981730.8830663358 203245.48201145677),CANAL STREET,Renwick Street,Greenwich Street,114.46130952380952,115.5
2018,POINT (981743.7101996697 200638.2911355511),HUDSON STREET,Duane Street,Thomas Street,48.036458333333336,52.5
2018,POINT (981755.6386475163 198522.85575491146),VESEY STREET,8 Avenue Line,Broadway Line,36.523809523809526,39.0
2018,POINT (981775.1778868659 202579.43440408862),VESTRY STREET,Hudson Street,Greenwich Street,28.991071428571427,28.0
2018,POINT (981780.7449233665 198243.10927297932),FULTON STREET,8 Avenue Line,8 Avenue Line,71.90327380952381,70.0
2018,POINT (981795.2433111364 205782.5818607251),WASHINGTON STREET,Barrow Street,Morton Street,86.38839285714286,93.0
2018,POINT (982005.4684540966 199671.53739565037),CHURCH STREET,8 Avenue Line,8 Avenue Line,170.09151785714286,188.0
2018,POINT (982140.6314286917 203608.53552511503),HUDSON STREET,Dominick Street,Holland Tunnel Entrance,122.45238095238095,126.5
2018,POINT (982231.2910439767 204343.92249753332),HUDSON STREET,Charlton Street,King Street,162.9985119047619,174.5
2018,POINT (982307.4346453996 201145.7382892937),WEST BROADWAY,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,12.892857142857142,11.0
2018,POINT (982497.8099538031 212915.3785063564),WEST 26 STREET,12 Avenue,11 Avenue,42.88095238095238,45.0
2018,POINT (982576.696144323 200625.34126758683),CHURCH STREET,8 Avenue Line,8 Avenue Line,186.5297619047619,203.0
2018,POINT (982656.2750438217 201719.0847976269),BEACH STREET,St Johns Lane,West Broadway,50.616815476190474,51.0
2018,POINT (982700.4474478472 204093.24956568528),VARICK STREET,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,302.4538002980626,333.0
